AU1,AU4,AU6,AU12,AU15,AU17,audio,speaker,start,end,duracion
,,,,,,huila,SPEAKER_01,546.78,549.23,2.45
0.0033995541937959692,0.21646740039189658,0.7032009959220886,0.06299159427483876,6.440763900172897e-05,0.02383474074304104,huila,SPEAKER_01,805.05,805.95,0.89
0.002728078482461916,0.2827475161424705,0.6413539137159076,0.03020853662720973,0.00045258483172412004,0.019324554468593783,huila,SPEAKER_01,807.36,816.81,9.45
0.009039690870188431,0.18654617612165483,0.6142310269854285,0.062419011160686336,0.0007587331129715577,0.04900287372716279,huila,SPEAKER_01,817.07,821.47,4.4
0.006505722820293158,0.11875220657222801,0.5405990348921882,0.005062628149365385,0.0015952054818626493,0.0644784383669806,huila,SPEAKER_01,822.16,830.16,8.0
0.003846503095701337,0.14181801676750183,0.6755295991897583,0.015215876512229443,0.005351772997528315,0.009200072847306728,huila,SPEAKER_01,831.72,845.65,13.94
0.002667419672347716,0.16169193812779017,0.5542932919093541,0.019384520933228833,0.000874789800686163,0.062428316162411304,huila,SPEAKER_01,847.92,864.08,16.17
0.003008126327767968,0.17662120113770166,0.5390656928221385,0.03940494851461456,0.0011092738336931991,0.16096807677919667,huila,SPEAKER_01,864.4,889.23,24.82
0.0040136955891891075,0.11681574705012497,0.5597160784971147,0.045538695207575246,0.0011935600173490542,0.03621648879544366,huila,SPEAKER_01,891.0,904.4,13.4
0.001160135181635269,0.1180992724839598,0.46958401799201965,0.025308568205218762,0.0030141528986860067,0.05056199157843366,huila,SPEAKER_01,905.21,914.5,9.3
0.0012773125015969743,0.444777900796561,0.4503379435766311,0.06384418044555266,0.002293942864395961,0.35666038450740634,huila,SPEAKER_01,914.98,918.44,3.46
0.003303728330917823,0.11538360680320434,0.44925706727164133,0.04633324456153787,0.0009424710413960773,0.14497527586562292,huila,SPEAKER_01,1050.21,1058.85,8.64
,,,,,,huila,SPEAKER_01,1123.97,1129.46,5.48
,,,,,,huila,SPEAKER_01,2796.06,2796.77,0.71
,,,,,,huila,SPEAKER_01,2799.23,2800.7,1.47
,,,,,,huila,SPEAKER_01,2801.09,2803.4,2.31
,,,,,,huila,SPEAKER_01,2803.87,2808.04,4.17
0.018528319895267487,0.01421950664371252,0.6389560699462891,0.267894446849823,0.016227304935455322,0.01786065474152565,huila,SPEAKER_01,2808.45,2818.18,9.74
0.04333735341206193,0.004919895269752791,0.5388162096341451,0.06890708834204512,0.0020564803950643786,0.07797298218744496,huila,SPEAKER_01,2819.79,2821.47,1.69
,,,,,,huila,SPEAKER_01,2822.64,2826.17,3.53
0.1245209127664566,0.0005565893952734768,0.8476377129554749,0.0691162645816803,0.027736209332942963,0.0028027186635881662,huila,SPEAKER_01,2831.4,2834.16,2.77
0.09426766471005976,0.0028052706347807543,0.6592678278684616,0.174027718603611,0.006366451532812789,0.007106711738742888,huila,SPEAKER_01,2835.18,2837.12,1.94
,,,,,,huila,SPEAKER_01,2839.77,2844.39,4.62
0.0011690952815115452,0.07866370677947998,0.5272330045700073,0.010626190342009068,2.3635782781639136e-05,0.37229660153388977,huila,SPEAKER_01,2845.67,2851.8,6.13
0.020422162488102913,0.01731440331786871,0.5242870599031448,0.2882012128829956,0.00011285640721325763,0.06967326626181602,huila,SPEAKER_01,2854.18,2857.49,3.31
0.01688572340644896,0.016544647270347924,0.6016547478735447,0.17141005145385863,0.0004643969643893797,0.16125276726670562,huila,SPEAKER_01,2858.33,2859.65,1.32
,,,,,,huila,SPEAKER_01,2861.25,2861.74,0.49
0.01583112357184291,0.06918264552950859,0.29520242661237717,0.004477072390727699,3.6627288864110596e-05,0.032889027148485184,huila,SPEAKER_01,2862.67,2866.06,3.39
0.0008797847549431026,0.26619821786880493,0.2765903174877167,0.10074875503778458,8.995443204184994e-05,0.22621332108974457,huila,SPEAKER_01,2867.07,2886.66,19.59
,,,,,,huila,SPEAKER_01,2888.45,2898.41,9.96
,,,,,,huila,SPEAKER_01,2899.96,2905.31,5.35
0.09510081851234038,0.02284380913867305,0.4759354591369629,0.09143105612020008,0.01244338471830512,0.1611676625907421,huila,SPEAKER_01,2907.05,2929.15,22.11
,,,,,,huila,SPEAKER_01,2932.12,2939.46,7.34
,,,,,,huila,SPEAKER_01,2940.27,2948.27,8.0
,,,,,,huila,SPEAKER_01,2948.66,2950.32,1.65
,,,,,,huila,SPEAKER_01,2950.91,2954.6,3.7
,,,,,,huila,SPEAKER_01,2954.67,2956.42,1.75
,,,,,,huila,SPEAKER_01,2956.56,2956.64,0.08
,,,,,,huila,SPEAKER_01,2957.72,2960.91,3.19
,,,,,,huila,SPEAKER_01,2962.72,2963.34,0.62
,,,,,,huila,SPEAKER_01,2965.22,2969.91,4.69
,,,,,,huila,SPEAKER_01,2973.33,2974.21,0.88
,,,,,,huila,SPEAKER_01,2975.88,2976.45,0.57
,,,,,,huila,SPEAKER_01,2977.48,2978.75,1.27
,,,,,,huila,SPEAKER_01,2981.23,2983.04,1.81
,,,,,,huila,SPEAKER_01,2983.47,2988.98,5.5
0.05557946115732193,0.020733095705509186,0.4330365061759949,0.005536278244107962,0.0006321127875708044,0.45689356327056885,huila,SPEAKER_01,2991.12,2995.95,4.83
0.0052033140091225505,0.004166398925008252,0.6353826224803925,0.26828162372112274,9.92896502793883e-05,0.17900401016231626,huila,SPEAKER_01,3002.49,3009.04,6.55
0.0013584084808826447,0.025409156177192926,0.7397915601730347,0.14186439646873622,0.0002512220807602716,0.05364485923200846,huila,SPEAKER_01,3015.76,3017.97,2.21
0.008070622881253561,0.005027706715433548,0.7279280920823415,0.2637042353162542,0.00644743794570483,0.29367231694050133,huila,SPEAKER_01,3018.73,3020.92,2.19
0.0013433682506729383,0.009890805697068572,0.8087739124894142,0.14730434873490594,0.000456758958989667,0.06633915985003114,huila,SPEAKER_01,3021.92,3022.66,0.74
0.0035352546256035566,0.002048273105174303,0.667600154876709,0.034728772938251495,0.0009392345091328025,0.0754433199763298,huila,SPEAKER_01,3028.97,3033.39,4.42
0.0020313159726687113,0.010732799154621634,0.8371877670288086,0.430563591695814,0.0010676952436121858,0.025574080730703743,huila,SPEAKER_01,3034.71,3038.32,3.61
0.014738297846633941,0.004751855114591308,0.7564490884542465,0.50314861536026,0.004401557105666143,0.009515953192021698,huila,SPEAKER_01,3038.66,3044.12,5.47
0.004006237936361383,0.04519328257689873,0.7043654521306356,0.25992004526779056,0.0003145307734181794,0.022004060447216034,huila,SPEAKER_01,3044.97,3050.84,5.87
,,,,,,huila,SPEAKER_01,3050.97,3051.04,0.07
0.00853849424359699,0.008638018928468227,0.7726708292961121,0.420600430543224,0.004615123759140261,0.09671045647313198,huila,SPEAKER_01,3051.4,3053.88,2.48
0.004005851963302121,0.03628426014911383,0.6824335381388664,0.44384477064013483,0.0010989005030751287,0.13073994913138448,huila,SPEAKER_01,3054.11,3056.66,2.55
0.0013244676520116627,0.025025746474663418,0.6872995098431905,0.4713534911473592,0.00019115463025324667,0.020531329326331615,huila,SPEAKER_01,3058.45,3061.03,2.58
0.005590391345322132,0.05450732260942459,0.5023767948150635,0.25123995542526245,4.9107311497209594e-05,0.02700352482497692,huila,SPEAKER_01,3063.09,3066.2,3.11
,,,,,,huila,SPEAKER_01,3067.6,3070.03,2.43
0.023437382333213463,0.05386110325343907,0.7391022443771362,0.15488119143992662,0.0004192916039755801,0.23865601234138012,huila,SPEAKER_01,3075.27,3083.97,8.69
0.015295793928089552,0.02136459806933999,0.8287030756473541,0.046658296341774985,0.0007770730990159791,0.06950410036370158,huila,SPEAKER_01,3086.33,3089.77,3.44
,,,,,,huila,SPEAKER_01,3093.38,3099.51,6.13
,,,,,,huila,SPEAKER_01,3101.72,3102.75,1.03
,,,,,,huila,SPEAKER_01,3104.72,3108.65,3.93
,,,,,,huila,SPEAKER_01,3110.21,3124.06,13.85
,,,,,,huila,SPEAKER_01,3125.49,3128.8,3.31
,,,,,,huila,SPEAKER_01,3130.49,3132.03,1.54
,,,,,,huila,SPEAKER_01,3133.16,3137.51,4.35
,,,,,,huila,SPEAKER_01,3142.2,3149.17,6.97
,,,,,,huila,SPEAKER_01,3150.62,3152.97,2.35
,,,,,,huila,SPEAKER_01,3155.23,3169.37,14.14
0.028015263844281435,0.007181428445619531,0.6349016278982162,0.07531150849536061,0.00014736795094449917,0.1983909427653998,huila,SPEAKER_01,3178.65,3194.01,15.36
0.008420785811419288,0.0025099553167819977,0.6975903312365214,0.10702665895223618,4.974969124305062e-05,0.028420920794208843,huila,SPEAKER_01,3195.42,3198.23,2.8
0.0453244186937809,0.007735329680144787,0.6424933075904846,0.356886088848114,5.2135001169517636e-05,0.013348100706934929,huila,SPEAKER_01,3199.42,3201.55,2.13
0.0033191448310390115,0.009883400052785873,0.8000538051128387,0.1598379909992218,0.0005347870610421523,0.005672259489074349,huila,SPEAKER_01,3203.25,3206.65,3.39
0.014321648515760899,0.005121959839016199,0.7326468229293823,0.5454881191253662,0.0006487546488642693,0.004045065492391586,huila,SPEAKER_01,3208.2,3213.78,5.59
0.008958943032970032,0.004029402742162347,0.6507284839948019,0.11998474101225536,0.00014398018781018132,0.06460138674204548,huila,SPEAKER_01,3219.66,3225.04,5.38
,,,,,,huila,SPEAKER_01,3227.37,3229.38,2.01
0.00067092792596668,0.053965963423252106,0.6768687963485718,0.018328119069337845,0.00039736556936986744,0.26860442757606506,huila,SPEAKER_01,3232.74,3243.2,10.46
0.005227734800428152,0.00790585856884718,0.6050012111663818,0.41455385088920593,0.0008855449850670993,0.49667221307754517,huila,SPEAKER_01,3251.45,3258.08,6.63
,,,,,,huila,SPEAKER_01,3261.52,3264.22,2.7
0.0046315743372990536,0.00835809733073872,0.6039702296257019,0.2544096875935793,0.0002017531419369334,0.2875252807369599,huila,SPEAKER_01,3266.28,3270.35,4.07
0.0029048878544320664,0.07122048615322758,0.6308999260266622,0.170108139187505,8.641111010850484e-05,0.20570696145296097,huila,SPEAKER_01,3273.02,3278.01,4.99
0.0011050358647480608,0.007495295209810138,0.7715964674949646,0.11735695265233517,0.0001045987599354703,0.035078566148877145,huila,SPEAKER_01,3282.25,3282.77,0.52
0.0018239825149066746,0.07963238190859556,0.6243666708469391,0.11233853362500668,0.0002407223619229626,0.024324060883373022,huila,SPEAKER_01,3285.55,3291.38,5.82
,,,,,,huila,SPEAKER_01,3293.43,3296.94,3.51
0.0006376957456020384,0.031136763959445736,0.7431005998091265,0.547363588755781,0.001375393401262541,0.04129589916291562,huila,SPEAKER_01,3298.31,3301.77,3.46
0.0008206540223909542,0.045393628171748586,0.7278334498405457,0.39042913623982006,0.00015837454758285376,0.05137388180527422,huila,SPEAKER_01,3302.31,3304.27,1.96
,,,,,,huila,SPEAKER_01,3306.41,3312.03,5.62
,,,,,,huila,SPEAKER_01,3313.09,3314.65,1.55
,,,,,,huila,SPEAKER_01,3318.75,3329.06,10.31
,,,,,,huila,SPEAKER_01,3329.36,3331.59,2.23
,,,,,,huila,SPEAKER_01,3331.99,3337.55,5.55
,,,,,,huila,SPEAKER_01,3338.98,3340.08,1.1
0.04172475690332552,0.004606585289972524,0.5551524559656779,0.3312210241953532,0.00040696335660565336,0.25494067557156086,huila,SPEAKER_01,3361.07,3371.45,10.38
0.004851234261877835,0.0033718970662448555,0.7137692719697952,0.1574544357135892,0.0015460094477930397,0.17165015265345573,huila,SPEAKER_01,3371.67,3379.65,7.98
0.004609368043020368,0.007442697882652283,0.72257399559021,0.17283234978094697,0.00038325415687268105,0.02230066154152155,huila,SPEAKER_01,3379.83,3383.75,3.91
0.002789141103858128,0.008120919694192708,0.7548005521297455,0.5983014911413193,0.0032011468880227766,0.043428178504109384,huila,SPEAKER_01,3392.09,3400.03,7.95
,,,,,,huila,SPEAKER_01,3401.57,3403.95,2.38
,,,,,,huila,SPEAKER_01,3405.15,3407.88,2.73
,,,,,,huila,SPEAKER_01,3409.6,3410.77,1.16
,,,,,,huila,SPEAKER_01,3412.86,3414.34,1.49
,,,,,,huila,SPEAKER_01,3414.58,3416.66,2.08
,,,,,,huila,SPEAKER_01,3417.89,3418.33,0.44
,,,,,,huila,SPEAKER_01,3419.49,3420.86,1.37
,,,,,,huila,SPEAKER_01,3421.45,3422.97,1.52
,,,,,,huila,SPEAKER_01,3424.23,3428.15,3.91
,,,,,,huila,SPEAKER_01,3433.26,3437.9,4.64
,,,,,,huila,SPEAKER_01,3458.93,3462.32,3.39
,,,,,,huila,SPEAKER_01,3463.75,3466.42,2.67
,,,,,,huila,SPEAKER_01,3467.58,3468.87,1.28
,,,,,,huila,SPEAKER_01,3468.95,3470.23,1.28
,,,,,,huila,SPEAKER_01,3472.01,3474.86,2.85
,,,,,,huila,SPEAKER_01,3475.62,3476.93,1.32
,,,,,,huila,SPEAKER_01,3480.46,3481.57,1.11
,,,,,,huila,SPEAKER_01,3482.72,3485.46,2.73
,,,,,,huila,SPEAKER_01,3487.02,3491.63,4.61
,,,,,,huila,SPEAKER_01,3497.69,3503.68,5.99
,,,,,,huila,SPEAKER_01,3504.98,3511.48,6.5
0.012590471334988251,0.05665376767865382,0.44050581753253937,0.03840410173870623,7.636111598685602e-05,0.24681599251925945,huila,SPEAKER_01,3512.89,3519.26,6.36
0.007058322429656982,0.14634272456169128,0.5966147184371948,0.020407412201166153,9.678358765086159e-06,0.44627174735069275,huila,SPEAKER_01,3522.77,3524.62,1.86
,,,,,,huila,SPEAKER_01,3526.29,3533.68,7.39
