id,inner_id,etiqueta_principal,etiquetas_mireya,n_spans
1,1,SA,NV|SA,5
4,4,SA,EBI|NV|SA,6
6,6,EBI,EBI|SA,4
7,7,SA,SA,1
8,8,SA,EBI|SA,4
10,10,SA,EBI|REP|SA,4
12,12,SA,EBI|NV|REP|SA,9
15,15,EBI,EBI|NV|REP|SA,8
16,16,EBI,EBI|REP|SA,10
17,17,REP,EBI|REP,5
19,19,REP,EBI|NV|REP,5
20,20,EBI,EBI|REP|SA,8
21,21,SA,EBI|REP|SA,9
22,22,SA,EBI|SA,5
24,24,EBI,EBI|NV|REP|SA,9
25,25,NV,EBI|NV,5
26,26,REP,EBI|NV|REP|SA,5
27,27,SA,EBI|NV|REP|SA,6
28,28,EBI,EBI|REP|SA,8
29,29,REP,REP|SA,2
30,30,EBI,EBI|NV|SA,7
31,31,EBI,EBI|SA,4
32,32,EBI,EBI|SA,2
33,33,REP,REP,1
34,34,REP,EBI|REP|SA,3
35,35,SA,EBI|NV|REP|SA,8
36,36,REP,REP,1
38,38,EBI,EBI|REP|SA,6
39,39,NV,NV,2
40,40,REP,EBI|REP,3
41,41,SA,EBI|NV|REP|SA,9
43,43,SA,EBI|REP|SA,6
44,44,EBI,EBI|NV|SA,5
45,45,NV,EBI|NV|REP|SA,8
46,46,EBI,EBI|REP,3
47,47,EBI,EBI|NV|REP,6
51,51,REP,REP,1
52,52,REP,REP|SA,5
53,53,REP,EBI|REP,4
54,54,REP,EBI|REP|SA,13
55,55,EBI,EBI|NV|REP,9
56,56,REP,REP,3
57,57,REP,EBI|NV|REP|SA,10
58,58,REP,EBI|REP|SA,10
59,59,REP,NV|REP,8
60,60,REP,EBI|NV|REP|SA,7
61,61,REP,EBI|NV|REP|SA,11
62,62,EBI,EBI|SA,3
63,63,REP,REP,5
64,64,REP,EBI|NV|REP,6
66,66,REP,REP|SA,5
67,67,REP,EBI|REP,3
68,68,REP,EBI|REP|SA,6
69,69,REP,EBI|REP|SA,4
70,70,EBI,EBI|REP|SA,4
71,71,SA,EBI|SA,7
72,72,REP,EBI|REP|SA,6
73,73,EBI,EBI|REP|SA,5
74,74,REP,EBI|NV|REP,7
75,75,REP,NV|REP,4
76,76,REP,REP|SA,4
77,77,EBI,EBI|REP,7
78,78,REP,EBI|REP,3
79,79,EBI,EBI|REP|SA,5
80,80,REP,EBI|REP|SA,6
81,81,REP,REP,1
82,82,REP,REP,5
83,83,REP,REP,5
85,85,REP,NV|REP,4
86,86,REP,REP|SA,7
87,87,REP,REP,3
88,88,REP,REP|SA,5
89,89,EBI,EBI|REP|SA,6
90,90,REP,REP,3
91,91,REP,REP,3
92,92,NV,NV|REP,6
93,93,REP,NV|REP,4
94,94,EBI,EBI|REP|SA,5
95,95,REP,EBI|NV|REP|SA,4
96,96,REP,EBI|REP|SA,4
97,97,EBI,EBI|REP|SA,11
98,98,REP,EBI|REP|SA,5
99,99,REP,EBI|REP,4
100,100,REP,REP,1
