doc_id,section_id,corpus_type,year,y1_ebi,y2_sa,y3_civil,y4_nv,y5_corpus_type,y6_period,y10_rep,y7_surprisal,y8_mafapo,y9_cidh,y11_conv_rest,text_length_chars,n_sa_instances,n_nv_instances,n_rep_instances,n_nv_questioned,processing_time_s,has_warning
01807c73506b81282e53ddbc4cf7286176cd5308a4ce76243a3ff3af0e5fc8d7,CONSIDERACIONES,A-CSJ,2013.0,0.0,1.0,0.995,0.1905,1,0.6552,0.0,,,,,8000,74,3,0,0,1.86,False
01807c73506b81282e53ddbc4cf7286176cd5308a4ce76243a3ff3af0e5fc8d7,DECISIÓN,A-CSJ,2013.0,0.0,0.9187,0.9928,0.0,1,0.6552,0.0,,,,,1223,6,0,0,0,0.378,False
036f7d338673e78683eed13caa9ca8464b307abff7ca2bde122b327871cb7991,DECISIÓN,A-CSJ,,0.0,1.0,0.9974,0.2333,0,0.5,0.0,,,,,904,8,1,0,0,0.299,False
0453281fce29cacfd49d0150b73fa6e021280ddc3eff06e464e0981bf51c8264,HECHOS,A-CSJ,2015.0,0.0,1.0,0.9824,0.8333,1,0.7241,1.0,,,,,975,5,1,1,0,0.306,False
0453281fce29cacfd49d0150b73fa6e021280ddc3eff06e464e0981bf51c8264,CARGOS,A-CSJ,2015.0,0.0,1.0,0.9861,0.7857,1,0.7241,0.0952,,,,,8000,40,12,1,0,1.774,False
0453281fce29cacfd49d0150b73fa6e021280ddc3eff06e464e0981bf51c8264,CONSIDERACIONES,A-CSJ,2015.0,0.0,1.0,0.9946,0.45,1,0.7241,0.325,,,,,8000,55,6,3,0,1.859,False
0453281fce29cacfd49d0150b73fa6e021280ddc3eff06e464e0981bf51c8264,DECISIÓN,A-CSJ,2015.0,0.0,1.0,0.9952,0.2778,1,0.7241,0.0,,,,,874,6,1,0,0,0.334,False
04d6e5308972acfd85429aaf0d6222a1715042427efb66c6f66dce61317a7561,CONSIDERACIONES,A-CE,2010.0,0.0,1.0,0.9801,0.0324,0,0.5517,0.0688,,,,,8000,59,1,1,0,2.128,False
04d6e5308972acfd85429aaf0d6222a1715042427efb66c6f66dce61317a7561,DECISIÓN,A-CE,2010.0,0.0,1.0,0.9823,0.1613,0,0.5517,0.4879,,,,,7338,34,3,7,0,2.186,False
04e1eb5aaa561608b95e411f6164d101e4c09ecfbf3514bf4802ee3044fa84f7,HECHOS,A-CE,2017.0,0.0,1.0,0.9912,0.4762,0,0.7931,0.1607,,,,,4159,29,4,1,0,1.283,False
04e1eb5aaa561608b95e411f6164d101e4c09ecfbf3514bf4802ee3044fa84f7,CONSIDERACIONES,A-CE,2017.0,0.0,1.0,0.9931,0.7333,0,0.7931,0.0,,,,,8000,105,11,0,0,2.001,False
04e1eb5aaa561608b95e411f6164d101e4c09ecfbf3514bf4802ee3044fa84f7,DECISIÓN,A-CE,2017.0,0.0,1.0,0.994,0.0,0,0.7931,0.0,,,,,1043,7,0,0,0,0.36,False
057f5cc436d1502f742a53154eb9aaf8aa1e2a9b31896c22b66756f059831b16,HECHOS,A-CSJ,2016.0,0.0,1.0,0.9813,0.925,1,0.7586,0.0,,,,,1312,4,4,0,0,0.442,False
057f5cc436d1502f742a53154eb9aaf8aa1e2a9b31896c22b66756f059831b16,CONSIDERACIONES,A-CSJ,2016.0,0.0,1.0,0.9879,0.3232,1,0.7586,0.0,,,,,8000,63,7,0,0,1.862,False
057f5cc436d1502f742a53154eb9aaf8aa1e2a9b31896c22b66756f059831b16,DECISIÓN,A-CSJ,2016.0,0.0,0.65,0.993,0.0,1,0.7586,0.0,,,,,402,2,0,0,0,0.217,False
05d2e3f2271c9000f85db3e5656c4158310f74e804f2a4f558dc6594c24289b8,HECHOS,A-CE,2020.0,0.0,1.0,0.9832,0.5641,0,0.8966,0.0,,,,,3083,14,5,0,0,0.738,False
05d2e3f2271c9000f85db3e5656c4158310f74e804f2a4f558dc6594c24289b8,CONSIDERACIONES,A-CE,2020.0,0.0,1.0,0.9804,0.5,0,0.8966,0.4643,,,,,8000,55,9,6,0,1.859,False
05d2e3f2271c9000f85db3e5656c4158310f74e804f2a4f558dc6594c24289b8,DECISIÓN,A-CE,2020.0,0.0,1.0,0.9857,0.0778,0,0.8966,0.6,,,,,4007,16,1,4,0,0.903,False
05fe0c7e89a387dd400d18f92fdb89a766114a68b5f92a3d29d07e64f624290d,HECHOS,A-CSJ,2016.0,0.0,0.34,0.9744,0.3333,1,0.7586,0.0,,,,,1357,2,1,0,0,0.407,False
05fe0c7e89a387dd400d18f92fdb89a766114a68b5f92a3d29d07e64f624290d,CONSIDERACIONES,A-CSJ,2016.0,0.0,1.0,0.9953,0.3854,1,0.7586,0.0,,,,,6645,51,4,0,0,2.084,False
05fe0c7e89a387dd400d18f92fdb89a766114a68b5f92a3d29d07e64f624290d,DECISIÓN,A-CSJ,2016.0,0.0,0.52,0.9868,0.3333,1,0.7586,0.0,,,,,773,2,1,0,0,0.57,False
0835aff2f7b290575f4c137c746195900f0297f0d0f9973533ccfe7931843bd1,CONSIDERACIONES,A-CE,2012.0,0.0,1.0,0.9952,0.1111,0,0.6207,0.0,,,,,8000,32,1,0,0,2.88,False
0835aff2f7b290575f4c137c746195900f0297f0d0f9973533ccfe7931843bd1,DECISIÓN,A-CE,2012.0,0.0,0.6262,0.9965,0.1296,0,0.6207,0.0,,,,,3027,4,1,0,0,1.548,False
08e5432af3304b3a3a170a98fdbf65a0ed258dee5857fee19d538aa2d87f4057,DECISIÓN,A-CE,2006.0,0.0,0.5417,0.9911,0.0,0,0.4138,0.0,,,,,2225,5,0,0,0,1.105,False
0be911634d3b2d7209148e109c1d461a347493ccc1087408ebcb1ed0cbddc9ca,HECHOS,A-CSJ,2017.0,0.0,1.0,0.9805,0.3214,1,0.7931,0.1607,,,,,6792,52,6,2,0,2.686,False
0be911634d3b2d7209148e109c1d461a347493ccc1087408ebcb1ed0cbddc9ca,CONSIDERACIONES,A-CSJ,2017.0,0.0,1.0,0.9871,0.7018,1,0.7931,0.2368,,,,,8000,70,9,2,0,3.018,False
0be911634d3b2d7209148e109c1d461a347493ccc1087408ebcb1ed0cbddc9ca,DECISIÓN,A-CSJ,2017.0,0.0,0.0,0.9931,0.0,1,0.7931,0.0,,,,,360,0,0,0,0,0.396,False
0c26b5b6275ecd41519f439bd6423b00c5a60d7f16364fe93ed8b2a60cc488c2,DECISIÓN,A-CSJ,2015.0,0.0,1.0,0.9966,0.0,1,0.7241,0.0,,,,,481,6,0,0,0,0.472,False
0c6ebf783e6197586b6569bbd3e53cc9d96e6929eaaf5dae3e9a390bc5925295,HECHOS,A-CSJ,2015.0,0.0,0.65,0.9889,0.0,1,0.7241,0.0,,,,,637,1,0,0,0,0.529,False
0c6ebf783e6197586b6569bbd3e53cc9d96e6929eaaf5dae3e9a390bc5925295,CONSIDERACIONES,A-CSJ,2015.0,0.0,1.0,0.9925,0.3188,1,0.7241,0.2717,,,,,8000,57,5,3,0,3.549,False
0c6ebf783e6197586b6569bbd3e53cc9d96e6929eaaf5dae3e9a390bc5925295,DECISIÓN,A-CSJ,2015.0,0.0,0.65,0.9945,0.0,1,0.7241,0.0,,,,,605,2,0,0,0,0.439,False
0d0427146a475d6807860fa5ff899640aa9dd7d1ab1d174310b080e601a3161c,CONSIDERACIONES,A-CSJ,2017.0,0.0,1.0,0.9901,0.3403,1,0.7931,0.0726,,,,,8000,60,7,1,0,3.286,False
0d0427146a475d6807860fa5ff899640aa9dd7d1ab1d174310b080e601a3161c,DECISIÓN,A-CSJ,2017.0,0.0,0.7429,0.9946,0.0,1,0.7931,0.0,,,,,831,4,0,0,0,0.449,False
0d799109865a9a1c946f34c99eb7dd27372d79c6adcd5aad2721ca3535a139ae,DECISIÓN,A-CE,2007.0,0.0,1.0,0.9836,0.3654,0,0.4483,0.7933,,,,,8000,65,6,11,0,2.441,False
0d799109865a9a1c946f34c99eb7dd27372d79c6adcd5aad2721ca3535a139ae,CONSIDERACIONES,A-CE,2007.0,0.0,1.0,1.0,0.0,0,0.4483,0.0,,,,,182,2,0,0,0,0.305,False
0d799109865a9a1c946f34c99eb7dd27372d79c6adcd5aad2721ca3535a139ae,HECHOS,A-CE,2007.0,0.0,1.0,0.9847,0.0,0,0.4483,0.0,,,,,8000,31,0,0,0,2.685,False
0d799109865a9a1c946f34c99eb7dd27372d79c6adcd5aad2721ca3535a139ae,HECHOS,A-CE,2007.0,0.0,1.0,0.997,0.2778,0,0.4483,0.0,,,,,779,5,1,0,0,0.528,False
0d799109865a9a1c946f34c99eb7dd27372d79c6adcd5aad2721ca3535a139ae,HECHOS,A-CE,2007.0,0.0,1.0,1.0,0.0,0,0.4483,0.0,,,,,343,2,0,0,0,0.299,False
0d799109865a9a1c946f34c99eb7dd27372d79c6adcd5aad2721ca3535a139ae,HECHOS,A-CE,2007.0,0.0,1.0,1.0,0.5833,0,0.4483,0.0,,,,,393,4,1,0,0,0.361,False
0d799109865a9a1c946f34c99eb7dd27372d79c6adcd5aad2721ca3535a139ae,HECHOS,A-CE,2007.0,0.0,1.0,0.9876,1.0,0,0.4483,0.7083,,,,,5180,55,8,2,0,1.956,False
0d799109865a9a1c946f34c99eb7dd27372d79c6adcd5aad2721ca3535a139ae,HECHOS,A-CE,2007.0,0.0,1.0,0.9841,1.0,0,0.4483,0.0,,,,,5174,31,8,0,0,2.995,False
0d799109865a9a1c946f34c99eb7dd27372d79c6adcd5aad2721ca3535a139ae,DECISIÓN,A-CE,2007.0,0.0,1.0,1.0,1.0,0,0.4483,0.0,,,,,181,1,2,0,0,0.452,False
0d799109865a9a1c946f34c99eb7dd27372d79c6adcd5aad2721ca3535a139ae,HECHOS,A-CE,2007.0,0.0,1.0,0.9808,0.1481,0,0.4483,0.0833,,,,,8000,49,3,1,0,3.155,False
0d799109865a9a1c946f34c99eb7dd27372d79c6adcd5aad2721ca3535a139ae,DECISIÓN,A-CE,2007.0,0.0,1.0,0.9867,0.4123,0,0.4483,0.2039,,,,,8000,59,5,2,0,2.447,False
0d799109865a9a1c946f34c99eb7dd27372d79c6adcd5aad2721ca3535a139ae,DECISIÓN,A-CE,2007.0,0.0,1.0,0.9794,0.5595,0,0.4483,0.2768,,,,,8000,50,5,2,0,2.022,False
0d799109865a9a1c946f34c99eb7dd27372d79c6adcd5aad2721ca3535a139ae,HECHOS,A-CE,2007.0,0.0,0.4333,0.9963,0.0,0,0.4483,0.0,,,,,447,1,0,0,0,0.335,False
0d799109865a9a1c946f34c99eb7dd27372d79c6adcd5aad2721ca3535a139ae,HECHOS,A-CE,2007.0,0.0,0.6352,0.9795,0.1288,0,0.4483,0.0,,,,,5505,18,4,0,0,2.315,False
0d799109865a9a1c946f34c99eb7dd27372d79c6adcd5aad2721ca3535a139ae,DECISIÓN,A-CE,2007.0,0.0,0.8058,0.9698,0.0,0,0.4483,0.0,,,,,3108,14,0,0,0,1.587,False
0d799109865a9a1c946f34c99eb7dd27372d79c6adcd5aad2721ca3535a139ae,HECHOS,A-CE,2007.0,0.0,1.0,0.9912,0.3333,0,0.4483,0.0,,,,,882,6,1,0,0,0.555,False
0d799109865a9a1c946f34c99eb7dd27372d79c6adcd5aad2721ca3535a139ae,DECISIÓN,A-CE,2007.0,0.0,1.0,0.9849,0.1852,0,0.4483,0.0,,,,,2913,27,1,0,0,1.858,False
0dbbebfd3378e61da701d999871c50a597e2c0c9087259ca6f4496ba330547fb,HECHOS,A-CSJ,2015.0,0.0,1.0,0.9814,0.375,1,0.7241,0.0,,,,,2340,11,1,0,0,0.662,False
0dbbebfd3378e61da701d999871c50a597e2c0c9087259ca6f4496ba330547fb,CONSIDERACIONES,A-CSJ,2015.0,0.0,1.0,0.9929,0.1566,1,0.7241,0.0,,,,,8000,60,4,0,0,1.832,False
0dbbebfd3378e61da701d999871c50a597e2c0c9087259ca6f4496ba330547fb,DECISIÓN,A-CSJ,2015.0,0.0,0.52,0.9884,0.0,1,0.7241,0.0,,,,,1091,2,0,0,0,0.349,False
