bloque_id,audio,subcaso,fecha,chars,y8_mafapo_cs,y9_cidh_cs,y2_sa,y4_nv,y10_rep,y3_civil
costa_caribe_b0000,costa_caribe,Costa Caribe,2022-07-18,1999,0.3118477463722229,0.35014867782592773,0.0,0.0,0.0,1.0
costa_caribe_b0001,costa_caribe,Costa Caribe,2022-07-18,2001,0.31018537282943726,0.34898120164871216,0.0,0.0,0.0,0.9740863955210327
costa_caribe_b0002,costa_caribe,Costa Caribe,2022-07-18,2006,0.15682226419448853,0.24843299388885498,0.12380952380952381,0.30303030303030304,0.0,0.9673161997951849
costa_caribe_b0003,costa_caribe,Costa Caribe,2022-07-18,2006,0.21363848447799683,0.2962369918823242,0.42,0.32142857142857145,0.0,0.9805320067054905
costa_caribe_b0004,costa_caribe,Costa Caribe,2022-07-18,2001,0.1781967282295227,0.251889169216156,0.3124,0.12820512820512822,0.0,0.9793438089133694
costa_caribe_b0005,costa_caribe,Costa Caribe,2022-07-18,2001,0.16607725620269775,0.24740666151046753,0.4525,0.06172839506172839,0.0,0.9919479217432505
costa_caribe_b0006,costa_caribe,Costa Caribe,2022-07-18,2003,0.19579797983169556,0.2710645794868469,0.134375,0.0,0.0,0.9868025903598879
costa_caribe_b0007,costa_caribe,Costa Caribe,2022-07-18,2004,0.2025972604751587,0.26873552799224854,0.05652173913043478,0.11494252873563218,0.0,0.9803924616091341
costa_caribe_b0008,costa_caribe,Costa Caribe,2022-07-18,2001,0.1259039044380188,0.22219717502593994,1.0,0.4166666666666667,0.0,0.9858639689023525
costa_caribe_b0009,costa_caribe,Costa Caribe,2022-07-18,2007,0.1972280740737915,0.28308624029159546,1.0,0.5000000000000001,0.0,0.983220240603439
costa_caribe_b0010,costa_caribe,Costa Caribe,2022-07-18,1999,0.13673722743988037,0.19972801208496094,1.0,0.18518518518518517,0.0,0.9970219060236308
costa_caribe_b0011,costa_caribe,Costa Caribe,2022-07-18,2006,0.2179560661315918,0.25410324335098267,1.0,0.7142857142857143,0.2857142857142857,0.9782674814769992
costa_caribe_b0012,costa_caribe,Costa Caribe,2022-07-18,2002,0.15880298614501953,0.19824492931365967,1.0,0.0,0.35227272727272724,0.9875030505520648
costa_caribe_b0013,costa_caribe,Costa Caribe,2022-07-18,1999,0.1895543932914734,0.2517772912979126,1.0,0.0,0.0,0.9914839583911781
costa_caribe_b0014,costa_caribe,Costa Caribe,2022-07-18,2004,0.17773103713989258,0.23603558540344238,1.0,0.7575757575757576,0.0,0.9781567622728831
costa_caribe_b0015,costa_caribe,Costa Caribe,2022-07-18,2005,0.2529348134994507,0.3061676025390625,1.0,0.5555555555555556,0.16666666666666666,0.9923481735746493
costa_caribe_b0016,costa_caribe,Costa Caribe,2022-07-18,2001,0.2363317608833313,0.294477641582489,1.0,0.4166666666666667,0.0,0.9767297733653396
costa_caribe_b0017,costa_caribe,Costa Caribe,2022-07-18,1999,0.2431197166442871,0.273529052734375,0.9227272727272727,0.7575757575757576,0.0,0.987753321173621
costa_caribe_b0018,costa_caribe,Costa Caribe,2022-07-18,2000,0.18977493047714233,0.20892739295959473,1.0,0.5555555555555556,0.0,0.9826210429071544
costa_caribe_b0019,costa_caribe,Costa Caribe,2022-07-18,2005,0.17884200811386108,0.2459874153137207,1.0,0.0,0.0,0.97844222207007
costa_caribe_b0020,costa_caribe,Costa Caribe,2022-07-18,2007,0.19993430376052856,0.2524998188018799,1.0,0.2333333333333333,0.37499999999999994,0.9858801862487179
costa_caribe_b0021,costa_caribe,Costa Caribe,2022-07-18,2004,0.18518352508544922,0.23715031147003174,1.0,0.19444444444444442,0.0,0.9774834502041528
costa_caribe_b0022,costa_caribe,Costa Caribe,2022-07-18,2006,0.24726802110671997,0.30604642629623413,1.0,0.0,0.234375,0.9768826354469905
costa_caribe_b0023,costa_caribe,Costa Caribe,2022-07-18,2006,0.19423556327819824,0.2781882882118225,0.631,0.0,0.25,0.9747264622234939
costa_caribe_b0024,costa_caribe,Costa Caribe,2022-07-18,2000,0.13289892673492432,0.2273712158203125,1.0,0.8333333333333334,0.0,0.9860087445297313
costa_caribe_b0025,costa_caribe,Costa Caribe,2022-07-18,2002,0.2461780309677124,0.31352847814559937,0.5909090909090909,0.0,0.0,0.9705933323806852
costa_caribe_b0026,costa_caribe,Costa Caribe,2022-07-18,2004,0.20475512742996216,0.23234444856643677,1.0,0.2638888888888889,0.0,0.9929252718666439
costa_caribe_b0027,costa_caribe,Costa Caribe,2022-07-18,2002,0.1735648512840271,0.2246243953704834,1.0,0.5555555555555556,0.0,0.9927599012928752
costa_caribe_b0028,costa_caribe,Costa Caribe,2022-07-18,2004,0.16613388061523438,0.236253023147583,1.0,1.0,0.3125,0.9822197197877669
costa_caribe_b0029,costa_caribe,Costa Caribe,2022-07-18,2000,0.20419377088546753,0.26732587814331055,1.0,0.0,1.0,0.9765134699647798
costa_caribe_b0030,costa_caribe,Costa Caribe,2022-07-18,2001,0.20554602146148682,0.26700663566589355,1.0,0.0,0.3125,0.9798248712355857
costa_caribe_b0031,costa_caribe,Costa Caribe,2022-07-18,2000,0.22854429483413696,0.2930692434310913,1.0,0.6428571428571429,0.0,0.9764298697371299
costa_caribe_b0032,costa_caribe,Costa Caribe,2022-07-18,1999,0.175026535987854,0.23847198486328125,1.0,0.5555555555555556,0.0,0.983148325332306
costa_caribe_b0033,costa_caribe,Costa Caribe,2022-07-18,2001,0.1908068060874939,0.23167270421981812,0.9550000000000001,0.21794871794871798,0.0,0.9788334239206409
costa_caribe_b0034,costa_caribe,Costa Caribe,2022-07-18,2006,0.15763700008392334,0.2367900013923645,1.0,0.35714285714285715,0.0,0.9881566552059261
costa_caribe_b0035,costa_caribe,Costa Caribe,2022-07-18,2005,0.1918097734451294,0.23711931705474854,1.0,0.0,0.22499999999999998,0.9710025881502582
costa_caribe_b0036,costa_caribe,Costa Caribe,2022-07-18,2005,0.15527713298797607,0.2129126787185669,1.0,0.9305555555555556,0.15625,0.9909801931490888
costa_caribe_b0037,costa_caribe,Costa Caribe,2022-07-18,2000,0.22584855556488037,0.25979435443878174,1.0,0.925925925925926,0.0,0.9911062968601196
costa_caribe_b0038,costa_caribe,Costa Caribe,2022-07-18,2000,0.21684986352920532,0.26256459951400757,1.0,0.12962962962962965,0.0,0.9886535956772108
costa_caribe_b0039,costa_caribe,Costa Caribe,2022-07-18,2003,0.13003045320510864,0.17392343282699585,1.0,0.33333333333333337,0.0,0.9937293440353112
costa_caribe_b0040,costa_caribe,Costa Caribe,2022-07-18,2003,0.16362106800079346,0.21261686086654663,1.0,0.1388888888888889,0.3541666666666667,0.983992783040922
costa_caribe_b0041,costa_caribe,Costa Caribe,2022-07-18,2005,0.17240256071090698,0.23878800868988037,1.0,0.9500000000000002,0.0,0.9808197230552169
costa_caribe_b0042,costa_caribe,Costa Caribe,2022-07-18,2003,0.2449166178703308,0.30509084463119507,0.7,0.11111111111111112,0.16666666666666666,0.9837297678205392
costa_caribe_b0043,costa_caribe,Costa Caribe,2022-07-18,2003,0.13739293813705444,0.22974920272827148,0.6638888888888889,0.0,0.0,0.9559960121993637
costa_caribe_b0044,costa_caribe,Costa Caribe,2022-07-18,2003,0.20904070138931274,0.2974584698677063,0.8954545454545454,0.0,0.0,0.9839294910336863
costa_caribe_b0045,costa_caribe,Costa Caribe,2022-07-18,1999,0.22549831867218018,0.31185173988342285,1.0,0.6944444444444445,0.0,0.9854534996874972
costa_caribe_b0046,costa_caribe,Costa Caribe,2022-07-18,2000,0.2157067060470581,0.2861853837966919,1.0,1.0,0.0,0.9740012850459422
costa_caribe_b0047,costa_caribe,Costa Caribe,2022-07-18,1999,0.16582602262496948,0.25345444679260254,1.0,1.0,0.0,0.9850366099199359
costa_caribe_b0048,costa_caribe,Costa Caribe,2022-07-18,2004,0.18430966138839722,0.2672768831253052,1.0,0.0,0.0,0.988431285717269
costa_caribe_b0049,costa_caribe,Costa Caribe,2022-07-18,2008,0.18536853790283203,0.28330492973327637,0.2473684210526316,0.08333333333333334,0.22499999999999998,0.9677208622877361
costa_caribe_b0050,costa_caribe,Costa Caribe,2022-07-18,2001,0.19732517004013062,0.26430588960647583,0.09444444444444444,0.12962962962962965,0.0,0.970875718313068
costa_caribe_b0051,costa_caribe,Costa Caribe,2022-07-18,2001,0.16685640811920166,0.25081074237823486,1.0,1.0,1.0,0.9805213130316828
costa_caribe_b0052,costa_caribe,Costa Caribe,2022-07-18,2004,0.1704099178314209,0.25209617614746094,1.0,1.0,0.0,0.9721861186211253
costa_caribe_b0053,costa_caribe,Costa Caribe,2022-07-18,2000,0.2359306812286377,0.287685751914978,0.9611111111111111,0.5555555555555556,0.7472222222222222,0.9843871608369842
costa_caribe_b0054,costa_caribe,Costa Caribe,2022-07-18,2002,0.20049208402633667,0.25619983673095703,1.0,0.6944444444444445,0.37499999999999994,0.9839458106014887
