corpus_type,doc_id,bloque_id,chars,y11_quotes,y12_judgment,y13_evidential,y11_n_dq,y12_n_alta,y12_n_baja,y13_n_inst,y13_n_vic,y11_oral_score,y11_n_voz_vic,y11_n_voz_mil,y11_oral_v2,y11_prop_mafapo,y11_n_mafapo,y11_n_militar
A,01807c73506b8128,01807c73506b8128_b000,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,01807c73506b8128,01807c73506b8128_b001,2000,0.0,0.0,0.5,0,2,0,0,0,,,,,,,
A,01807c73506b8128,01807c73506b8128_b002,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,01807c73506b8128,01807c73506b8128_b003,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,01807c73506b8128,01807c73506b8128_b004,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,01807c73506b8128,01807c73506b8128_b005,2000,0.0,1.0,0.5,0,0,1,0,0,,,,,,,
A,01807c73506b8128,01807c73506b8128_b006,2000,0.0,0.75,0.5,0,1,3,0,0,,,,,,,
A,01807c73506b8128,01807c73506b8128_b007,2000,0.0,0.25,0.5,0,3,1,0,0,,,,,,,
A,01807c73506b8128,01807c73506b8128_b008,2000,1.0,0.0,1.0,3,3,0,1,0,,,,,,,
A,01807c73506b8128,01807c73506b8128_b009,2000,1.0,0.5,0.5,3,3,1,0,0,,,,,,,
A,01807c73506b8128,01807c73506b8128_b010,2000,1.0,0.25,0.5,2,3,1,0,0,,,,,,,
A,01807c73506b8128,01807c73506b8128_b011,2000,1.0,1.0,0.5,2,0,1,0,0,,,,,,,
A,01807c73506b8128,01807c73506b8128_b012,2000,1.0,0.6,1.0,3,2,3,1,0,,,,,,,
A,01807c73506b8128,01807c73506b8128_b013,2000,1.0,0.5,0.5,6,1,1,0,0,,,,,,,
A,01807c73506b8128,01807c73506b8128_b014,2000,1.0,0.3333,0.5,1,2,1,0,0,,,,,,,
A,01807c73506b8128,01807c73506b8128_b015,2000,1.0,0.5,0.5,2,1,1,0,0,,,,,,,
A,01807c73506b8128,01807c73506b8128_b016,2000,1.0,0.5,1.0,4,2,2,1,0,,,,,,,
A,01807c73506b8128,01807c73506b8128_b017,2000,1.0,0.5,0.5,1,1,1,0,0,,,,,,,
A,01807c73506b8128,01807c73506b8128_b018,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,01807c73506b8128,01807c73506b8128_b019,2000,0.0,0.4,0.5,0,3,0,0,0,,,,,,,
A,036f7d338673e786,036f7d338673e786_b000,2000,1.0,0.0,0.5,1,0,0,0,0,,,,,,,
A,036f7d338673e786,036f7d338673e786_b001,2000,1.0,0.0,0.5,1,0,0,0,0,,,,,,,
A,036f7d338673e786,036f7d338673e786_b002,2000,1.0,0.0,0.5,1,1,0,0,0,,,,,,,
A,036f7d338673e786,036f7d338673e786_b003,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,036f7d338673e786,036f7d338673e786_b004,2000,0.0,0.0,1.0,0,4,0,1,0,,,,,,,
A,036f7d338673e786,036f7d338673e786_b005,2000,1.0,0.0,1.0,2,1,0,1,0,,,,,,,
A,036f7d338673e786,036f7d338673e786_b006,2000,1.0,1.0,0.5,1,0,0,0,0,,,,,,,
A,036f7d338673e786,036f7d338673e786_b007,2000,1.0,0.0,0.5,1,0,0,0,0,,,,,,,
A,036f7d338673e786,036f7d338673e786_b008,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,036f7d338673e786,036f7d338673e786_b009,2000,0.0,0.5,0.5,0,2,0,0,0,,,,,,,
A,036f7d338673e786,036f7d338673e786_b010,2000,0.0,0.5,0.5,0,1,1,0,0,,,,,,,
A,036f7d338673e786,036f7d338673e786_b011,449,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,0453281fce29cacf,0453281fce29cacf_b000,2000,0.0,0.0,0.5,0,3,0,0,0,,,,,,,
A,0453281fce29cacf,0453281fce29cacf_b001,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,0453281fce29cacf,0453281fce29cacf_b002,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,0453281fce29cacf,0453281fce29cacf_b003,2000,0.0,0.3333,0.5,0,2,1,0,0,,,,,,,
A,0453281fce29cacf,0453281fce29cacf_b004,2000,0.0,0.5,0.5,0,2,2,0,0,,,,,,,
A,0453281fce29cacf,0453281fce29cacf_b005,2000,0.0,0.4,0.5,0,3,2,0,0,,,,,,,
A,0453281fce29cacf,0453281fce29cacf_b006,2000,0.0,0.5,0.5,0,1,1,0,0,,,,,,,
A,0453281fce29cacf,0453281fce29cacf_b007,2000,0.0,0.0,0.5,0,2,0,0,0,,,,,,,
