audiencia,video_url,speaker_diar,inicio,fin,tiempo_total_s,identidad,rol,batallon,evidencia_identificacion,confianza,uso,muestra_texto
CostaCaribe,https://www.youtube.com/watch?v=costa_caribe_reconocimiento,SPEAKER_35,00:23:40,00:38:50,910,Eduardo Cifuentes Muñoz,PRESIDENTE_JEP,,letrero JEP + video,ALTA,EXCLUIR,
CostaCaribe,https://www.youtube.com/watch?v=costa_caribe_reconocimiento,SPEAKER_36,00:48:25,00:51:10,165,Oscar Parra,MAGISTRADO,,letrero JEP + video,ALTA,EXCLUIR,
CostaCaribe,https://www.youtube.com/watch?v=costa_caribe_reconocimiento,SPEAKER_36,00:54:00,00:55:02,62,Oscar Parra,MAGISTRADO,,letrero JEP + video,ALTA,EXCLUIR,
CostaCaribe,https://www.youtube.com/watch?v=costa_caribe_reconocimiento,SPEAKER_48,00:55:02,00:56:58,116,Marlith Nieto Torres,SECRETARIA_JUDICIAL,,letrero JEP + video,ALTA,EXCLUIR,
CostaCaribe,https://www.youtube.com/watch?v=costa_caribe_reconocimiento,SPEAKER_29,00:57:10,01:13:20,970,Presentacion victimas,VICTIMA,,letrero JEP + video,ALTA,CENTROIDE,
CostaCaribe,https://www.youtube.com/watch?v=costa_caribe_reconocimiento,SPEAKER_11,01:15:50,01:16:29,39,Presentacion comparecientes,EXCLUIR_PRESENTACION,,letrero JEP + video,ALTA,EXCLUIR,
CostaCaribe,https://www.youtube.com/watch?v=costa_caribe_reconocimiento,SPEAKER_12,01:17:04,01:19:49,165,Representantes judiciales victimas,REPRESENTANTE_VICTIMAS,,letrero JEP + video,ALTA,EXCLUIR,
CostaCaribe,https://www.youtube.com/watch?v=costa_caribe_reconocimiento,SPEAKER_76,01:20:10,01:23:45,215,Apoderados judiciales comparecientes,REPRESENTANTE_COMPARECIENTES,,letrero JEP + video,ALTA,EXCLUIR,
CostaCaribe,https://www.youtube.com/watch?v=costa_caribe_reconocimiento,SPEAKER_79,01:24:13,01:26:03,110,Autoridades indigenas Kankuamo Wiwa,AUTORIDAD_INDIGENA,,letrero JEP + video,ALTA,EXCLUIR,
CostaCaribe,https://www.youtube.com/watch?v=costa_caribe_reconocimiento,SPEAKER_43,01:26:10,01:26:39,29,Delegado Ministerio Publico,MINISTERIO_PUBLICO,,letrero JEP + video,ALTA,EXCLUIR,
CostaCaribe,https://www.youtube.com/watch?v=costa_caribe_reconocimiento,SPEAKER_36,01:26:39,01:40:31,832,Oscar Parra,MAGISTRADO,,letrero JEP + video,ALTA,EXCLUIR,
CostaCaribe,https://www.youtube.com/watch?v=costa_caribe_reconocimiento,SPEAKER_32,01:40:31,01:54:36,845,Video victimas y comparecientes,VICTIMA,,letrero JEP + video,ALTA,CENTROIDE,
CostaCaribe,https://www.youtube.com/watch?v=costa_caribe_reconocimiento,SPEAKER_03,01:54:36,02:04:53,617,Belkis Izquierdo Torres,MAGISTRADO,,letrero JEP + video,ALTA,EXCLUIR,
CostaCaribe,https://www.youtube.com/watch?v=costa_caribe_reconocimiento,SPEAKER_00,02:05:30,02:12:35,425,Autoridades Wiwa Kankuamo,AUTORIDAD_INDIGENA,,letrero JEP + video,ALTA,EXCLUIR,
CostaCaribe,https://www.youtube.com/watch?v=costa_caribe_reconocimiento,SPEAKER_06,02:13:00,02:29:17,977,Pueblo Kankuamo,AUTORIDAD_INDIGENA,,letrero JEP + video,ALTA,EXCLUIR,
CostaCaribe,https://www.youtube.com/watch?v=costa_caribe_reconocimiento,SPEAKER_01,02:29:39,02:40:50,671,Delegado Procuraduria,MINISTERIO_PUBLICO,,letrero JEP + video,ALTA,EXCLUIR,
CostaCaribe,https://www.youtube.com/watch?v=costa_caribe_reconocimiento,SPEAKER_02,03:12:35,03:23:30,655,Oscar Parra,MAGISTRADO,,letrero JEP + video,ALTA,EXCLUIR,
CostaCaribe,https://www.youtube.com/watch?v=costa_caribe_reconocimiento,SPEAKER_07,03:23:33,03:29:04,331,Alejandro Ramelli Arteaga,MAGISTRADO,,letrero JEP + video,ALTA,EXCLUIR,
CostaCaribe,https://www.youtube.com/watch?v=costa_caribe_reconocimiento,SPEAKER_04,03:29:15,03:45:00,945,Rocio Escorcia,VICTIMA,,letrero JEP + video,ALTA,CENTROIDE,
CostaCaribe,https://www.youtube.com/watch?v=costa_caribe_reconocimiento,SPEAKER_05,03:50:10,03:58:41,511,Franklin Navarro,VICTIMA,,letrero JEP + video,ALTA,CENTROIDE,
CostaCaribe,https://www.youtube.com/watch?v=costa_caribe_reconocimiento,SPEAKER_05,04:02:00,04:03:09,69,Selmi Delfina Bolaños,VICTIMA,,letrero JEP + video,ALTA,CENTROIDE,
CostaCaribe,https://www.youtube.com/watch?v=costa_caribe_reconocimiento,SPEAKER_01,04:06:21,04:58:40,3139,Yeris Andres Gomez Coronel,COMPARECIENTE,La Popa,letrero JEP + video,ALTA,ANALISIS,
