audiencia,video_url,speaker_diar,inicio,fin,tiempo_total_s,identidad,rol,batallon,evidencia_identificacion,confianza,uso,muestra_texto
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_01,00:13:28,00:15:30,122,Fabian Camilo Martinez Guerrero,MAGISTRADO,,letrero JEP + video,ALTA,EXCLUIR,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_00,00:15:30,00:17:41,131,Jose Ricardo Cifuentes,VICTIMA,,letrero JEP + video,ALTA,CENTROIDE,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_05,00:17:41,00:18:50,69,Alejandro Ramelli Arteaga,MAGISTRADO,,letrero JEP + video,ALTA,EXCLUIR,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_02,00:24:50,00:25:34,44,Magistrada Rueda,MAGISTRADO,,letrero JEP + video,ALTA,EXCLUIR,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_00,00:25:34,00:42:11,997,William Adolfo Sanchez Sarria,VICTIMA,,letrero JEP + video,ALTA,CENTROIDE,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_02,00:42:11,00:46:38,267,Magistrada Rueda,MAGISTRADO,,letrero JEP + video,ALTA,EXCLUIR,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_01,00:46:38,01:02:36,958,Luz Marina Castillo Tovar,VICTIMA,,letrero JEP + video,ALTA,CENTROIDE,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_01,01:02:36,01:05:32,176,Magistrada Rueda,MAGISTRADO,,letrero JEP + video,ALTA,EXCLUIR,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_00,01:05:32,01:40:14,2082,Faiver Coronado Camero,COMPARECIENTE,Cacique Pigoanza,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_00,01:40:14,01:45:31,317,Magistrada Rueda,MAGISTRADO,,letrero JEP + video,ALTA,EXCLUIR,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_03,01:45:31,02:08:15,1364,Jhon Jairo Buitrago Lopez,COMPARECIENTE,Magdalena,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_03,02:08:15,02:21:06,771,Jair Fernandez,COMPARECIENTE,Cacique Pigoanza,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_03,02:21:06,02:26:00,294,Magistrada Rueda,MAGISTRADO,,letrero JEP + video,ALTA,EXCLUIR,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_01,02:58:00,02:59:10,70,Fabian Camilo Martinez Guerrero,MAGISTRADO,,letrero JEP + video,ALTA,EXCLUIR,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_00,02:59:10,03:07:18,488,Hilton Santiago Gomez Avila,VICTIMA,,letrero JEP + video,ALTA,CENTROIDE,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_01,03:07:18,03:08:00,42,Alejandro Ramelli Arteaga,MAGISTRADO,,letrero JEP + video,ALTA,EXCLUIR,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_01,03:08:00,03:34:28,1588,Claudia Rocio Lugo Moreno,VICTIMA,,letrero JEP + video,ALTA,CENTROIDE,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_01,03:34:28,03:39:44,316,Alejandro Ramelli Arteaga,MAGISTRADO,,letrero JEP + video,ALTA,EXCLUIR,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_02,03:39:44,04:17:03,2239,Luis Carlos Aguilera Quintero,COMPARECIENTE,Cacique Pigoanza,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_01,04:17:29,04:35:09,1060,Aris Ramirez Campos,COMPARECIENTE,Cacique Pigoanza,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_02,04:35:55,04:43:58,483,Fabian Fermin Durango de la Cruz,COMPARECIENTE,Magdalena,letrero JEP + video,ALTA,ANALISIS,
Huila,https://www.youtube.com/watch?v=huila_reconocimiento,SPEAKER_02,05:53:16,05:54:48,92,Alejandro Ramelli Arteaga,MAGISTRADO,,letrero JEP + video,ALTA,EXCLUIR,
