archivo,radicado,n_expediente,year_radicado,tipo_accion,decision,magistrado_ponente,fecha_1,fecha_2,municipio_hechos,departamento_hechos,batallon_mencionado,n_chars
05001-23-24-000-1994-02278-01(20706)_1.txt,05001-23-24-000-1994-02278-01,20706,1994,,,,15 de diciembre de 2000,4 de diciembre de 2002,,,,64666
05001-23-25-000-1993-00383-01(14354).txt,05001-23-25-000-1993-00383-01,14354,1993,,Accede,,17 de julio de 1992,17 de julio de 1992,Angostura,Antioquia,,59685
05001-23-25-000-1995-00459-01(20099).txt,05001-23-25-000-1995-00459-01,20099,1995,,Condena,,1 de noviembre de 2000,30 de marzo de 1995,Barbosa,Antioquia,,35590
05001-23-25-000-1995-01407-01(21806)_1 (1).txt,05001-23-25-000-1995-01407-01,21806,1995,"ACCION

DE REPARACION DIRECTA",,,8 de febrero de 2012,29 de noviembre de 1994,Urrao,Antioquia,,218959
05001-23-25-000-1995-01407-01(21806)_1.txt,05001-23-25-000-1995-01407-01,21806,1995,"ACCION

DE REPARACION DIRECTA",,,8 de febrero de 2012,29 de noviembre de 1994,Urrao,Antioquia,,218959
05001-23-26-000-1995-01882-01(18475).txt,05001-23-26-000-1995-01882-01,18475,1995,,,,9 de diciembre de 2004,17 de febrero de 2000,Chigorod,Antioquia,,41595
05001-23-27-000-1996-00500-01(20162).txt,05001-23-27-000-1996-00500-01,20162,1996,,Niega,,16 de noviembre de 2000,27 de marzo de 1996,Turbo,Antioquia,,32862
05001-23-31-000-1996-00866-01(18366).txt,05001-23-31-000-1996-00866-01,18366,1996,,,,14 de mayo de 2009,23 de mayo de 1994,Caucasia,Antioquia,,22847
05001-23-31-000-2000-03380-01(26669).txt,05001-23-31-000-2000-03380-01,26669,2000,ACCION DE REPARACION DIRECTA,,,11 de septiembre de 2013,22 de noviembre de 2012,,Antioquia,,89840
05001-23-31-000-2004-01289-01(40256)_1.txt,05001-23-31-000-2004-01289-01,40256,2004,,,,9 de marzo de 2002,,San,Antioquia,,206669
05001-23-31-000-2005-05214-01(39425) (1).txt,05001-23-31-000-2005-05214-01,39425,2005,,,,19 de abril de 2004,19 de abril de 2004,Granada,,,77594
05001-23-31-000-2005-05214-01(39425) (2).txt,05001-23-31-000-2005-05214-01,39425,2005,,,,19 de abril de 2004,19 de abril de 2004,Granada,,,77594
05001-23-31-000-2005-05214-01(39425).txt,05001-23-31-000-2005-05214-01,39425,2005,,,,19 de abril de 2004,19 de abril de 2004,Granada,,,77594
05001-23-31-000-2006-00039-01(38757).txt,05001-23-31-000-2006-00039-01,38757,2006,,,Magistrado,8 de julio de 2009,23 de agosto de 2010,,,,72586
05001-23-31-000-2006-00534-01(43422).txt,05001-23-31-000-2006-00534-01,43422,2006,,Condena,,6 de noviembre de 2003,7 de noviembre de 2005,Caicedo,Antioquia,,100604
05001-23-31-000-2006-00537-01(42693).txt,05001-23-31-000-2006-00537-01,42693,2006,,Condena,,6 de noviembre de 2003,7 de noviembre de 2005,Caicedo,Antioquia,,106820
05001-23-31-000-2006-03257-01 (52413).txt,05001-23-31-000-2006-03257-01,52413,2006,,,,30 de agosto de 1984,17 de marzo de 1995,,,,92705
05001-23-31-000-2006-03391-01(48123) (1).txt,05001-23-31-000-2006-03391-01,48123,2006,,,,11 de mayo de 2017,,Argelia,Antioquia,,87426
05001-23-31-000-2006-03391-01(48123).txt,05001-23-31-000-2006-03391-01,48123,2006,,,,11 de mayo de 2017,,Argelia,Antioquia,,87426
