archivo,n_paginas,tipo_resolucion,n_resolucion,subcaso,magistrado_ponente,fecha_1,fecha_2,municipio_hechos,departamento_hechos,n_victimas,n_chars_extraidos
adhc-055-2022-casanare.pdf,538,auto de determinación,,Casanare,,14 de julio de 2022,2 de julio de 2021,,Boyacá,,60362
adhc-062-2023-antioquia.pdf,531,,,Antioquia I,,30 de agosto de 2023,13 de enero de 2002,,Antioquia,,44313
adhc-081-2023-huila.pdf,850,auto de determinación,,Huila y las conductas,,20 de noviembre de 2023,,,Antioquia,,42352
adhc-267-2021-norte-santander.pdf,87,"Auto de 
determinación",,Norte de Santander,,9 de diciembre de 2021,02 de julio de 2021,,Catatumbo,,43205
auto-RC-AI-016-2025-dabeiba.pdf,545,,,,,,,,,,0
auto-RC-AS-005-2024-dabeiba.pdf,35,"Resolución de 
Conclusiones",04,Antioquia,,17 de julio de 2018,11 de septiembre de 2018,Dabeiba,Antioquia,,42466
Auto_005_2018_Apertura_Caso003.pdf,10,,,,,,,,,,0
Auto_033_2021_Priorizacion_Subcasos.pdf,38,,,,,12 de febrero de 2021,17 de julio de 2018,,,248,46419
Auto_055_2022_Subcaso_Casanare.pdf,538,auto de determinación,,Casanare,,14 de julio de 2022,2 de julio de 2021,,Boyacá,,60362
Auto_125_2021_Norte_Santander.pdf,31,,,Norte de Santander,,9 de diciembre de 2021,2 de julio de 2021,Ocaña,Santander,,46287
Auto_128_2021_Costa_Caribe.pdf,31,,,Norte de Santander,,9 de diciembre de 2021,2 de julio de 2021,Ocaña,Santander,,46287
Auto_SRVR_ADHC_03_julio_2023.pdf,1046,,,,,,,,,,64474
Auto_SUBD_062_2023_Antioquia_Montoya.pdf,532,,,Antioquia I,,6 de septiembre de 2023,30 de agosto de 2023,,Antioquia,,42575
Auto_SUBD_081_2023_Subcaso_Huila.pdf,850,auto de determinación,,Huila y las conductas,,20 de noviembre de 2023,,,Antioquia,,42352
RC-04-2024-dabeiba.pdf,197,Resolución de Conclusiones,04,,,20 de marzo de 2024,,Dabeiba,Antioquia,,47194
RC_01_2022_Norte_Santander.pdf,171,Resolución de Conclusiones,01,Norte de Santander del macro caso No,,20 de octubre de 2022,20 de octubre de 2022,,Norte de Santander,,75072
RC_03_2022_Costa_Caribe.pdf,213,Resolución de Conclusiones,03,Costa Caribe,,7 de diciembre de 2022,9 de enero de 2002,,,,68441
senit-05-2023-caso03.pdf,91,,,,,11 de julio de 2022,11 de julio de 2022,Dabeiba,Antioquia,,50900
