fragmento,quien,A1_REP,A2_REP,texto
4,"A2_solo (A2 marcó, tú no)","comandante de la estación capitán Wilson Albeiro Novoa Daza. (comandado por el Sargento Segundo Freddy Baldomero Rodríguez Cárdenas),","siendo llevado con posterioridad por el comandante de la estación capitán Wilson Albeiro Novoa Daza. (comandado por el Sargento Segundo Freddy Baldomero Rodríguez Cárdenas),","io. HECHOS: De conformidad con la acusación el día 7 de junio del año dos mil cuatro en horas de la tarde, el ciudadano Miguel Ángel Figueroa Díaz, "
6,"A2_solo (A2 marcó, tú no)","Comandante de la Compañía Berlín, Te. MAHECHA BERNAL CARLOS ANDRÉS","Comandante de la Compañía Berlín, Te. MAHECHA BERNAL CARLOS ANDRÉS","es. HECHOS En la sentencia de segundo grado fueron tomados de la resolución de acusación, que así los detalló: El informe de hechos suscrito por el C"
8,"A2_solo (A2 marcó, tú no)","ANGEL ALBERTO RÍOS, JUAN PABLO DUCUARA RAMÍREZ, SNEIDER CAMACHO PEÑA, ADALBERTO PAREDES OVIEDO y Míller Hernando Castillo | de Israel González","ANGEL ALBERTO RÍOS, JUAN PABLO DUCUARA RAMÍREZ, SNEIDER CAMACHO PEÑA, ADALBERTO PAREDES OVIEDO y Míller Hernando Castillo | de Israel González","O. HECHOS: Los falladores declararon demostrados los siguientes: Ocurrieron el día 24 de enero de 2008, en horas de la mañana, cuando a la vivienda de"
12,"A1_solo (tú marcaste, A2 no)","llegaban de civil, así mataron la señora mía y dos hijos | desapareció León Darío", desapareció León Darío,"e si bien no presenció estos hechos “por miedo” , se paró en la puerta de la casa y vio el carro del señor Navarro . Igualmente, sostuvo que por la ép"
15,"A1_solo (tú marcaste, A2 no)",EUCLIDES NAVARRO RINCÓN y ADELMIS FUENTES TORRES | las víctimas,EUCLIDES NAVARRO RINCÓN y ADELMIS FUENTES TORRES |,"HECHOS En la resolución de acusación se encuentran las siguientes referencias fácticas: En desarrollo de la Misión Táctica Faraón, integrantes del Pel"
22,"A2_solo (A2 marcó, tú no)",teniente Andrés Castaño Correa,teniente Andrés Castaño Correa,"do. HECHOS 	Fueron sintetizados por el sentenciador de segundo grado de la siguiente manera: Indicó el ente instructor que mediante informe de patrull"
28,"A1_solo (tú marcaste, A2 no)",Paolo Manuel Castro Mejía,Paolo Manuel Castro Mejía,". HECHOS 	 El 14 de noviembre de 2007, aproximadamente a las 10:45 de la mañana, salió de su residencia ubicada en el municipio de Chiriguaná (Cesar),"
29,"A1_solo (tú marcaste, A2 no)",delito de homicidio en persona protegida,(nada),"CORTE SUPREMA DE JUSTICIA, Sala de Casación Penal, RESUELVE: 1. CONCEDER el beneficio de libertad transitoria, condicionada y anticipada a WILMER ALON"
30,"A2_solo (A2 marcó, tú no)",SS. Aristides Miranda Maldonado,SS. Aristides Miranda Maldonado,"iere que el hecho de la víctima sea culposo para que proceda como eximente , y por otra parte , se tiene como exigencia que la causa [ la actuación de"
31,"A2_solo (A2 marcó, tú no)","l Sub Teniente JAIME ANDRÉS ARANDA DURÁN a la cabeza,","l Sub Teniente JAIME ANDRÉS ARANDA DURÁN a la cabeza,","o. HECHOS Fueron narrados por el Juzgador de primer grado, en los siguientes términos: El origen de esta investigación tiene ocurrencia el día 28 de"
33,"A1_solo (tú marcaste, A2 no)",homicidio en persona protegida,(nada),"de homicidio en persona protegida. CONSIDERACIONES DE LA CORTE: 1.	Primer cargo: Nulidad por falta de competencia del fallador. La Sala advierte que l"
36,"A1_solo (tú marcaste, A2 no)",delito de homicidio en persona protegida,(nada),"xpuesto, la CORTE SUPREMA DE JUSTICIA, SALA DE CASACIÓN PENAL, RESUELVE 1. SUSPENDER la orden de captura número 0283943, emitida por la Sala de Casaci"
40,"A1_solo (tú marcaste, A2 no)","Jhon Fredy Arias Mejía, | DECLÁRASE la responsabilidad de la Nación – Ministerio de Defensa – Ejército Nacional,","Jhon Fredy Arias Mejía,","Subsección A, administrando justicia en nombre de la República y por autoridad de la ley, FALLA: PRIMERO: REVÓCASE la sentencia del 29 de abril de 201"
51,"A1_solo (tú marcaste, A2 no)",as víctimas acreditadas,las víctimas acreditadas,"ada y exhaustiva, así como su responsabilidad individual, para efectos de emitir la respectiva resolución de conclusiones o remitir lo que corresponda"
52,"A1_solo (tú marcaste, A2 no)",Propuestas Restaurativas | Daños al buen nombre. 2. Daños a las relaciones. Relaciones al interior de la familia. | Afectaciones emocionales y afectivas. | Daños a la Ciudadanía.,Propuestas Restaurativas ,eciente patrones macrocriminales. 6.2.3. Calificación jurídica de la conducta del compareciente. F. CARACTERIZACIÓN DEL DAÑO OCASIONADO. 1. Daños al b
57,"A1_solo (tú marcaste, A2 no)",revictimizante | Procuraduría le preocupan “las afirmaciones del señor Rueda Quintero dirigidas a los pueblos indígenas | víctimas presentes en el auditorio,(nada),s y su representación legal en que la respuesta que brindó el compareciente a una de las víctimas presentes en el auditorio respecto del asesinato de 
62,"A2_solo (A2 marcó, tú no)","rfirio Ortiz Sigua (75), Saúl Barreto Barreto (96) y Fermín Ochoa Barrios (131).","rfirio Ortiz Sigua (75), Saúl Barreto Barreto (96) y Fermín Ochoa Barrios (131).","rfirio Ortiz Sigua (75), Saúl Barreto Barreto (96) y Fermín Ochoa Barrios (131). 3082 “El coronel Peña Chivatá me llamó a la oficina y me dijo ‘usted "
66,"A1_solo (tú marcaste, A2 no)","en particular las víctimas de los hechos determinados en dichos Autos y las autoridades de los pueblos indígenas Kankuamo y Wiwa, que se encuentran tanto en la ciudad de Bogotá y municipios aledaños, como las que se encuentran en la región del Catatumbo y en la Costa Caribe. | participarán, prioritariamente, | las víctimas acreditadas en el caso, | han manifestado ante la Sala su voluntad de reconocer verdad y responsabilidad","pueblos indígenas Kankuamo y Wiwa, que se encuentran tanto en la ciudad de Bogotá y municipios aledaños","opia. 58. Participantes: En este proceso participarán, prioritariamente, los 22 máximos responsables determinados en los Autos 125 y 128 de 2021 que h"
67,"A1_solo (tú marcaste, A2 no)","El impacto del silencio está, sin embargo, poco reconocido […] el silencio carcome las posibilidades de recuperación, de acceso a la justicia y a la verdad. Infecta las heridas físicas y emocionales. Potencia, día a día, los conflictos de las mujeres con su entorno. Agranda el miedo y fortalece el aislamiento. También empodera a lo | La violencia sexual se vuelve […] atrocidad permitida y normalizada.","El impacto del silencio está, sin embargo, poco reconocido",D E R E S P O N S A B I L I D A D Y D E D E T E R M I N A C I Ó N D E L O S H E C H O S Y C O N D U C T A S R A D I C A D O N O . 2 0 2 3 0 3 0 1 0 9 
70,"A1_solo (tú marcaste, A2 no)","eñalan que “no es viable equiparar los resultados exigidos por los superiores en una empresa cualquiera con las presiones de las Fuerzas Militares, como lo ha venido realizando el compareciente GÓMEZ NARANJO", compareciente GÓMEZ NARANJO,ue comparan la presión por resultados en el Ejército con la que podría existir “en todas las empresas”. Por ello señalan que “no es viable equiparar l
73,"A1_solo (tú marcaste, A2 no)","su reconocimiento es completo y no pretende excluir los hechos cometidos | se evidencia la reiterada aceptación de responsabilidad de la totalidad de la imputación realizada en el Auto 125 y la presentación de elementos concretos directamente relacionados con los crímenes cometidos por la BRIM15,","crímenes cometidos por la BRIM15,","peracional sobre la BRM15 como un intento de controvertir la imputación o de parcializar su reconocimiento de responsabilidad. Además, no encuentra es"
