id,tipo,score_y4,NV_A1,NV_A2_marco,texto
1,FALSO_NEGATIVO,0.0,cadáver  | cuerpo,True,"cedimiento Penal vigente al momento del hecho 32 , el cual señalaba que la inspección del cadáver debía realizarse por autoridad competente en el mismo lugar en donde acaeciera la muerte, de manera que existiera inmediac"
95,FALSO_NEGATIVO,0.0,muchos 98,False,ha dado en el macrocaso 03 son inherentes a una estrategia de investigación de justicia transicional “de macroprocesos en los cuales exista una participación masiva de todas las víctimas y que no se estructuren por el az
92,FALSO_NEGATIVO,0.0,6 no estaban identificadas | 21 víctimas |  solo 2 no han sido plenamente identificadas en el Auto,True,"s señaló que 6 no estaban identificadas; en ese sentido, es preciso mencionar que haciendo un análisis integral del Auto 128 el señor GÓMEZ NARANJO tenía conocimiento real de 10 hechos con 21 víctimas[cita omitida], de l"
87,FALSO_NEGATIVO,0.0,(nada),True,"58 familias del Consejo Comunitario Unión del Río Rosario, 13 veredas y 809 familias del Consejo Comunitario Unión del Río Caunapí y 190 familias de la vereda Pueblo Nuevo fueron afectadas directamente por este derrame. "
68,FALSO_NEGATIVO,0.0,(nada),True,"l de los ríos Rosario y Mejicano, no solo dando órdenes a sus subalternos sobre la división del trabajo, sino también realizando de manera directa varios de los hechos que configuraron los patrones de macrocriminalidad, "
66,FALSO_NEGATIVO,0.0,(nada),True,"opia. 58. Participantes: En este proceso participarán, prioritariamente, los 22 máximos responsables determinados en los Autos 125 y 128 de 2021 que han manifestado ante la Sala su voluntad de reconocer verdad y responsa"
64,FALSO_NEGATIVO,0.0,otros dos asesinatos,True,ión de libertad de alrededor de 81 meses185. Adicionalmente el señor URBANO MUÑOZ fue vinculado al proceso con radicado 110016066606420040008718 por hechos que no fueron determinados en el Auto No. 125 de 2021 y que por 
59,FALSO_NEGATIVO,0.0,45 sin información etaria | 1 que no fueron identificados.,True,"determinada, entre los años 1997 y 2016, cometidos por las extintas FARC-EP. Estos hechos dejaron un total de 177 víctimas, de las cuales 94 eran hombres, 34 mujeres y 51 que no fueron identificados. De estas víctimas, 1"
55,FALSO_NEGATIVO,0.0,18 personas | 2 hombres no identificados,True,"2021, notas al pie 295, 1751. 353 Expediente Caso 03, Cuaderno de hojas de vida. 354 Auto 128 de 2021, párr. 1027. 355 1) Radicado 8098, por hechos ocurridos el 14 de febrero de 2002, en los que murió Anuar de Armas Rinc"
96,FALSO_NEGATIVO,0.0,(nada),True,"as víctimas y, otros dos se dirigieron a la segunda vivienda para ejecutar a las víctimas restantes1206. 518. Por temor a las represalias, las familias que habitaban el caserío se ocultaron en el monte para proteger sus "
41,FALSO_NEGATIVO,0.0,"alias Pantera,",False,"HECHOS: El ad quem los resumió de la siguiente manera: El 26 de diciembre de 2006 a la finca El Jordán, en la Vereda Los Morichales del municipio de Paz de Ariporo, de propiedad del señor Rubén Antonio Pérez, llegaron 2"
44,FALSO_NEGATIVO,0.0,"a cuatro personas, no identificadas, | en combate con el frente 51 de las FARC que operaba en la zona.",True,"ada. Hechos El 2 de abril de 2006, en el Corregimiento Guamachal, jurisdicción del Municipio de San Juan del Cesar (Guajira), unidades del ejército nacional, adscritas a los Grupos Contraguerrilla COBALTO DOS y BOMBARDA "
35,FALSO_NEGATIVO,0.0,Ninguno de los dos fue vuelto a ver por sus familiares,False,"quir. HECHOS El 19 de febrero de 2007, Jorge Alberto García Vanegas, de 17 años de edad, se entrevistó con Wilson Rodríguez Mimisica, informante del grupo Gaula del Ejército Nacional en Casanare, y después se dirigió con"
28,FALSO_NEGATIVO,0.0,(nada),True,". HECHOS 	 El 14 de noviembre de 2007, aproximadamente a las 10:45 de la mañana, salió de su residencia ubicada en el municipio de Chiriguaná (Cesar), Paolo Manuel Castro Mejía con rumbo al punto denominado La loma en "
12,FALSO_NEGATIVO,0.0,otras personas | sin obtener respuesta alguna,True,"e si bien no presenció estos hechos “por miedo” , se paró en la puerta de la casa y vio el carro del señor Navarro . Igualmente, sostuvo que por la época en que desapareció León Darío lo mismo sucedió con otras personas,"
8,FALSO_NEGATIVO,0.0,(nada),True,"O. HECHOS: Los falladores declararon demostrados los siguientes: Ocurrieron el día 24 de enero de 2008, en horas de la mañana, cuando a la vivienda de propiedad de Israel González situada en la vereda Potrerito de Lugo d"
39,FALSO_NEGATIVO,0.0,l hecho exclusivo de la víctima | taca que el hecho exclusivo de la víctima debe estar revestido de cualidades como la contribución determinante de esta y su relación directa e incuestionable con el daño antijurídico producido,True,taca que el hecho exclusivo de la víctima debe estar revestido de cualidades como la contribución determinante de esta y su relación directa e incuestionable con el daño antijurídico producido . Es acertado que algunas d
21,FALSO_POSITIVO,1.0,(nada),False,"ctivas. HECHOS A mediados del año 2006, el subteniente del Ejército Diego Armando Junco Parra reunió a un grupo de soldados bajo sus órdenes, entre quienes se encontraban los señalados, y les mostró su preocupación porqu"
58,FALSO_POSITIVO,0.583,(nada),False,"de los elementos descritos, el señor Elkin Rojas hizo referencia a los incentivos que recibió del comandante del batallón al presentar este tipo de bajas en combate, como permisos, comida (arroz chino) y felicitaciones65"
