AU1,AU4,AU6,AU12,AU15,AU17,audio,speaker,start,end,duracion
0.07342158257961273,0.007728477008640766,0.6376710534095764,7.668845682928804e-07,9.619750926503912e-06,0.02831518091261387,dabeiba,SPEAKER_03,143.11,152.82,9.7
0.04650301191334923,0.02058092349519332,0.5444286008675893,0.04965179567642413,0.0003220912627966754,0.008848934015259147,dabeiba,SPEAKER_03,153.17,158.66,5.48
0.06574602137235078,0.008594327775592154,0.5568689148534428,0.010503325484189025,0.0002163098938167836,0.01732908975629305,dabeiba,SPEAKER_03,159.2,167.65,8.45
,,,,,,dabeiba,SPEAKER_03,168.12,168.88,0.76
,,,,,,dabeiba,SPEAKER_03,169.68,179.23,9.55
,,,,,,dabeiba,SPEAKER_03,179.92,183.65,3.73
,,,,,,dabeiba,SPEAKER_03,184.22,187.02,2.8
0.05013452252993981,0.020068374811671674,0.5495339930057526,0.015760380358339415,0.0003339355423577217,0.018211920512840152,dabeiba,SPEAKER_03,187.75,201.79,14.04
0.07538629110370364,0.004994768216939909,0.5828986778145745,0.04401316987817457,0.00033649378619992644,0.022279259854085035,dabeiba,SPEAKER_03,202.92,211.63,8.71
0.10685704655945301,0.006045033312402665,0.5945574104785919,0.052312566173906984,0.0001151600131606756,0.007561700105434284,dabeiba,SPEAKER_03,212.01,213.65,1.64
0.049510807792345686,0.008832598299098512,0.5384664277235667,0.06056491418228992,0.00032028830898222317,0.03594782099826262,dabeiba,SPEAKER_03,214.39,219.36,4.96
,,,,,,dabeiba,SPEAKER_03,219.76,225.5,5.74
,,,,,,dabeiba,SPEAKER_03,226.71,236.43,9.72
,,,,,,dabeiba,SPEAKER_03,236.75,254.03,17.28
,,,,,,dabeiba,SPEAKER_03,278.08,283.28,5.2
0.03803554469616049,0.007813855584471539,0.6807941099007925,0.03798770448620164,0.0003198636472158493,0.015586425935099315,dabeiba,SPEAKER_03,283.58,292.1,8.52
0.12729383781552314,0.00466087794629857,0.4273987293243408,0.025749067230799484,0.00021872845764505655,0.010374425095506012,dabeiba,SPEAKER_03,292.71,303.09,10.38
,,,,,,dabeiba,SPEAKER_03,304.49,313.15,8.66
0.03239365488601228,0.01616145600564778,0.6214146589239439,0.06238809432761627,0.0008137554198886695,0.016505891893757507,dabeiba,SPEAKER_03,313.38,318.26,4.88
0.020814332899383524,0.01527384950102053,0.535278779539195,0.0330681167373541,0.0005631323121364899,0.007495906574397602,dabeiba,SPEAKER_03,318.92,323.96,5.05
0.04667488986714965,0.01177283036633439,0.543852007105237,0.043589988322353404,0.001749859933711594,0.015913382948686678,dabeiba,SPEAKER_03,324.64,329.46,4.83
0.03207392136876782,0.010663711815141141,0.5287843880554041,0.12194173513682927,0.0001448746840348273,0.0112315143608915,dabeiba,SPEAKER_03,329.8,333.8,4.0
,,,,,,dabeiba,SPEAKER_03,335.44,343.61,8.17
,,,,,,dabeiba,SPEAKER_03,343.99,345.28,1.28
,,,,,,dabeiba,SPEAKER_03,345.72,346.66,0.94
,,,,,,dabeiba,SPEAKER_03,346.95,350.51,3.56
,,,,,,dabeiba,SPEAKER_03,777.18,781.53,4.35
,,,,,,dabeiba,SPEAKER_03,782.09,796.02,13.94
,,,,,,dabeiba,SPEAKER_03,796.31,804.24,7.93
,,,,,,dabeiba,SPEAKER_03,1487.97,1495.19,7.22
,,,,,,dabeiba,SPEAKER_03,1995.21,1998.62,3.41
,,,,,,dabeiba,SPEAKER_03,1999.0,2003.7,4.69
,,,,,,dabeiba,SPEAKER_03,2003.97,2011.1,7.14
,,,,,,dabeiba,SPEAKER_03,2011.63,2012.77,1.15
,,,,,,dabeiba,SPEAKER_03,2013.55,2018.17,4.62
,,,,,,dabeiba,SPEAKER_03,2020.42,2021.46,1.05
0.005673390376008077,0.31540520302951336,0.2512980974279344,0.0897644374764847,0.001456536287053704,0.40238592796958983,dabeiba,SPEAKER_03,2021.62,2023.37,1.75
0.0022464733226045678,0.4069486753298686,0.3423393451823638,0.16385027022065166,0.0012396884965430498,0.45540291987932646,dabeiba,SPEAKER_03,2023.88,2025.72,1.84
0.003536033761338331,0.4075240146368742,0.24629274625331163,0.09637755839721648,0.0004922236099346832,0.5473004537634552,dabeiba,SPEAKER_03,2026.29,2031.08,4.79
0.0018259340408803837,0.36987159540876746,0.4277331766206771,0.09370984616526812,0.0005152531366761082,0.5607826011255383,dabeiba,SPEAKER_03,2031.67,2033.87,2.19
