AU1,AU4,AU6,AU12,AU15,AU17,audio,speaker,start,end,duracion
0.006460576154495357,0.1827229391783476,0.44413743913173676,0.00227335285967456,0.0030515260039010172,0.18447802145965397,huila,SPEAKER_06,26078.48,26087.71,9.23
0.0019031798279188065,0.3422048684548248,0.2757626941258257,0.06381573880472305,0.0011266639700848332,0.441086796535687,huila,SPEAKER_06,26089.5,26091.45,1.96
0.0035197470464151015,0.26520043137398636,0.16691968268291515,0.21093389197168025,0.009092609662647274,0.7468135180798444,huila,SPEAKER_06,26093.06,26094.47,1.42
0.0014058739842665899,0.3192726949022876,0.3240593518647883,0.05309924672150777,0.0010635187126316243,0.4710852543099059,huila,SPEAKER_06,26095.33,26096.52,1.18
0.006217612108836572,0.16672187546888986,0.1792338266968727,0.14376642741262913,0.009376634669024497,0.8889066080252329,huila,SPEAKER_06,26097.68,26099.99,2.31
,,,,,,huila,SPEAKER_06,26100.6,26101.68,1.08
,,,,,,huila,SPEAKER_06,26105.66,26108.56,2.9
,,,,,,huila,SPEAKER_06,26110.98,26116.63,5.65
,,,,,,huila,SPEAKER_06,26117.46,26119.21,1.76
,,,,,,huila,SPEAKER_06,26119.84,26120.24,0.4
0.002227702393914418,0.4148977690686782,0.3760038949549198,0.004807470228115562,0.0010053872714100482,0.2290534513692061,huila,SPEAKER_06,26125.76,26129.51,3.75
,,,,,,huila,SPEAKER_06,26132.44,26135.43,2.99
,,,,,,huila,SPEAKER_06,26139.29,26140.19,0.89
0.0008856614003889263,0.018297487869858742,0.16452203691005707,0.0009690934093669057,0.000401052413508296,0.6310184001922607,huila,SPEAKER_06,26141.32,26142.74,1.42
,,,,,,huila,SPEAKER_06,26145.12,26145.94,0.83
,,,,,,huila,SPEAKER_06,26146.31,26147.38,1.06
0.0009896946934392103,0.25085565046622205,0.24486978638630646,0.024197590716469746,0.0004816080232698229,0.7168442962261347,huila,SPEAKER_06,26151.58,26152.57,1.0
0.0023051589814713225,0.43656666157767177,0.2609880999661982,0.05855390630313195,0.002436023143673083,0.5282864510081708,huila,SPEAKER_06,26152.78,26157.13,4.35
,,,,,,huila,SPEAKER_06,26159.02,26161.84,2.82
0.00021383918647188693,0.2689047083258629,0.3390262722969055,0.08575787395238876,0.008951427531428635,0.8922092616558075,huila,SPEAKER_06,26165.99,26167.12,1.13
,,,,,,huila,SPEAKER_06,26168.44,26169.5,1.06
,,,,,,huila,SPEAKER_06,26169.85,26170.39,0.54
,,,,,,huila,SPEAKER_06,26171.59,26172.2,0.61
,,,,,,huila,SPEAKER_06,26172.54,26173.21,0.68
0.0027699139677376176,0.29060611153642335,0.3263127148151398,0.01780018585268408,0.006108188374067443,0.5101772884527842,huila,SPEAKER_06,26174.58,26175.07,0.49
0.0002357223347416948,0.49165657311677935,0.3629129402339458,0.010843429295346142,0.000646643091840815,0.5167414408177138,huila,SPEAKER_06,26178.88,26181.53,2.65
0.015291722549591213,0.12722636107355356,0.1852791365236044,0.4748377203941345,0.010623551468597725,0.2781884279102087,huila,SPEAKER_06,26183.08,26184.5,1.42
,,,,,,huila,SPEAKER_06,26186.04,26187.4,1.37
,,,,,,huila,SPEAKER_06,26188.33,26189.38,1.05
,,,,,,huila,SPEAKER_06,26190.09,26191.17,1.08
,,,,,,huila,SPEAKER_06,26193.09,26194.37,1.28
,,,,,,huila,SPEAKER_06,26196.18,26198.0,1.82
,,,,,,huila,SPEAKER_06,26199.79,26200.67,0.88
,,,,,,huila,SPEAKER_06,26201.46,26203.03,1.57
,,,,,,huila,SPEAKER_06,26204.87,26205.61,0.74
,,,,,,huila,SPEAKER_06,26207.6,26208.4,0.79
,,,,,,huila,SPEAKER_06,26209.24,26210.54,1.3
,,,,,,huila,SPEAKER_06,26212.08,26213.17,1.1
0.0007096468665016195,0.36298123333189225,0.19170711272292668,0.021559286448690627,1.1027907476091059e-05,0.6365430090162489,huila,SPEAKER_06,26213.7,26214.76,1.06
,,,,,,huila,SPEAKER_06,26215.74,26216.55,0.81
,,,,,,huila,SPEAKER_06,26216.6,26217.69,1.1
,,,,,,huila,SPEAKER_06,26218.54,26219.37,0.83
,,,,,,huila,SPEAKER_06,26220.18,26221.2,1.03
,,,,,,huila,SPEAKER_06,26222.99,26223.89,0.89
,,,,,,huila,SPEAKER_06,26225.81,26226.57,0.76
8.782828500933157e-05,0.6248814028043014,0.20963796629355505,0.03793860617868351,0.0014990445202923953,0.30382187836445296,huila,SPEAKER_06,26229.76,26230.67,0.91
0.00023177644379757112,0.5718648297091325,0.15506182921429476,0.16359111511458954,0.004093975808549051,0.36244895060857135,huila,SPEAKER_06,26231.9,26232.68,0.78
0.00016702294716754209,0.6077364779287769,0.16551076356441743,0.16414817182287092,0.007574613228620541,0.36879718592089994,huila,SPEAKER_06,26233.52,26234.55,1.03
3.3522143331494936e-05,0.6240720890817189,0.5329040913354783,0.2215747602638744,0.00031148447167305717,0.17631548323801585,huila,SPEAKER_06,26235.28,26236.19,0.91
6.706856765958946e-05,0.5613189935684204,0.4323371648788452,0.1759936735033989,0.0004731280205305666,0.18504894524812698,huila,SPEAKER_06,26236.78,26238.2,1.42
3.7681005778722465e-05,0.7051789835095406,0.4726766496896744,0.0038609417097177356,0.0001342765026492998,0.33145688474178314,huila,SPEAKER_06,26238.79,26239.62,0.83
,,,,,,huila,SPEAKER_06,26241.62,26242.25,0.62
,,,,,,huila,SPEAKER_06,26243.48,26245.08,1.6
0.0003389228804735467,0.338520479388535,0.30254223477095366,0.034287169692106545,0.003739048363058828,0.3344549806788564,huila,SPEAKER_06,26252.74,26253.81,1.06
,,,,,,huila,SPEAKER_06,26255.38,26256.29,0.91
,,,,,,huila,SPEAKER_06,26257.98,26258.8,0.83
,,,,,,huila,SPEAKER_06,26260.22,26262.45,2.23
,,,,,,huila,SPEAKER_06,26264.74,26265.84,1.1
