wf,wv,wt,rho
0.0,0.0,1.0,0.2
0.0,0.05,0.95,0.2
0.0,0.1,0.9,0.2
0.0,0.15,0.85,0.2
0.0,0.2,0.8,0.2
0.0,0.25,0.75,0.2
0.0,0.3,0.7,0.2
0.0,0.35,0.65,0.2
0.0,0.4,0.6,0.2571428571428572
0.0,0.45,0.55,0.2571428571428572
0.0,0.5,0.5,-0.08571428571428573
0.0,0.55,0.45,-0.08571428571428573
0.0,0.6,0.4,-0.48571428571428577
0.0,0.65,0.35,-0.48571428571428577
0.0,0.7,0.3,-0.6571428571428573
0.0,0.75,0.25,-0.6571428571428573
0.0,0.8,0.2,-0.8857142857142858
0.0,0.85,0.15,-0.7714285714285715
0.0,0.9,0.1,-0.7714285714285715
0.0,0.95,0.05,-0.7714285714285715
0.0,1.0,0.0,-0.7714285714285715
0.05,0.0,0.95,0.6
0.05,0.05,0.9,0.6571428571428573
0.05,0.1,0.85,0.48571428571428577
0.05,0.15,0.8,0.2571428571428572
0.05,0.2,0.75,0.2571428571428572
0.05,0.25,0.7,0.2571428571428572
0.05,0.3,0.65,0.2571428571428572
0.05,0.35,0.6,0.2571428571428572
0.05,0.4,0.55,0.2571428571428572
0.05,0.45,0.5,0.2571428571428572
0.05,0.5,0.45,0.20291986247835697
0.05,0.55,0.4,0.2571428571428572
0.05,0.6,0.35,-0.08571428571428573
0.05,0.65,0.3,-0.08571428571428573
0.05,0.7,0.25,0.028571428571428574
0.05,0.75,0.2,-0.028571428571428574
0.05,0.8,0.15,-0.2
0.05,0.85,0.1,-0.2
0.05,0.9,0.05,-0.2
0.05,0.95,0.0,-0.3142857142857143
0.1,0.0,0.9,0.7714285714285715
0.1,0.05,0.85,0.7714285714285715
0.1,0.1,0.8,0.7714285714285715
0.1,0.15,0.75,0.7714285714285715
0.1,0.2,0.7,0.6
0.1,0.25,0.65,0.6
0.1,0.3,0.6,0.6
0.1,0.35,0.55,0.6
0.1,0.4,0.5,0.6
0.1,0.45,0.45,0.6
0.1,0.5,0.4,0.3714285714285715
0.1,0.55,0.35,0.3714285714285715
0.1,0.6,0.3,0.2571428571428572
0.1,0.65,0.25,0.2571428571428572
0.1,0.7,0.2,0.028571428571428574
0.1,0.75,0.15,-0.028571428571428574
0.1,0.8,0.1,-0.2
0.1,0.85,0.05,-0.14285714285714288
0.1,0.9,0.0,-0.14285714285714288
0.15,0.0,0.85,0.7714285714285715
0.15,0.05,0.8,0.7714285714285715
0.15,0.1,0.75,0.7714285714285715
0.15,0.15,0.7,0.7714285714285715
0.15,0.2,0.65,0.7714285714285715
0.15,0.25,0.6,0.7714285714285715
0.15,0.3,0.55,0.6
0.15,0.35,0.5,0.7142857142857143
0.15,0.4,0.45,0.7142857142857143
0.15,0.45,0.4,0.7142857142857143
0.15,0.5,0.35,0.6
0.15,0.55,0.3,0.6
0.15,0.6,0.25,0.6
0.15,0.65,0.2,0.48571428571428577
0.15,0.7,0.15,0.4285714285714286
0.15,0.75,0.1,0.48571428571428577
0.15,0.8,0.05,0.3142857142857143
0.15,0.85,0.0,0.08571428571428573
0.2,0.0,0.8,0.7714285714285715
0.2,0.05,0.75,0.7714285714285715
0.2,0.1,0.7,0.7714285714285715
0.2,0.15,0.65,0.8857142857142858
0.2,0.2,0.6,0.8857142857142858
0.2,0.25,0.55,0.8857142857142858
0.2,0.3,0.5,0.8857142857142858
0.2,0.35,0.45,0.8857142857142858
0.2,0.4,0.4,0.8857142857142858
0.2,0.45,0.35,0.7142857142857143
0.2,0.5,0.3,0.7142857142857143
0.2,0.55,0.25,0.6
0.2,0.6,0.2,0.6
0.2,0.65,0.15,0.48571428571428577
0.2,0.7,0.1,0.48571428571428577
0.2,0.75,0.05,0.48571428571428577
0.2,0.8,0.0,0.3142857142857143
0.25,0.0,0.75,0.8857142857142858
0.25,0.05,0.7,0.8857142857142858
0.25,0.1,0.65,0.8857142857142858
0.25,0.15,0.6,0.8857142857142858
0.25,0.2,0.55,0.8857142857142858
0.25,0.25,0.5,0.8857142857142858
0.25,0.3,0.45,0.8857142857142858
0.25,0.35,0.4,0.8857142857142858
0.25,0.4,0.35,0.8857142857142858
0.25,0.45,0.3,0.8857142857142858
0.25,0.5,0.25,0.8857142857142858
0.25,0.55,0.2,0.6571428571428573
0.25,0.6,0.15,0.6
0.25,0.65,0.1,0.48571428571428577
0.25,0.7,0.05,0.48571428571428577
0.25,0.75,0.0,0.48571428571428577
0.3,0.0,0.7,0.8857142857142858
0.3,0.05,0.65,0.8857142857142858
0.3,0.1,0.6,0.8857142857142858
0.3,0.15,0.55,0.8857142857142858
0.3,0.2,0.5,0.8857142857142858
0.3,0.25,0.45,0.8857142857142858
0.3,0.3,0.4,0.8857142857142858
0.3,0.35,0.35,0.8857142857142858
0.3,0.4,0.3,0.8857142857142858
0.3,0.45,0.25,0.942857142857143
0.3,0.5,0.2,0.942857142857143
0.3,0.55,0.15,0.7714285714285715
0.3,0.6,0.1,0.7714285714285715
0.3,0.65,0.05,0.6
0.3,0.7,0.0,0.48571428571428577
0.35,0.0,0.65,0.942857142857143
0.35,0.05,0.6,0.942857142857143
0.35,0.1,0.55,0.942857142857143
0.35,0.15,0.5,0.942857142857143
0.35,0.2,0.45,0.942857142857143
0.35,0.25,0.4,0.942857142857143
0.35,0.3,0.35,0.942857142857143
0.35,0.35,0.3,1.0
0.35,0.4,0.25,1.0
0.35,0.45,0.2,1.0
0.35,0.5,0.15,1.0
0.35,0.55,0.1,0.8285714285714287
0.35,0.6,0.05,0.8285714285714287
0.35,0.65,0.0,0.8285714285714287
0.4,0.0,0.6,0.942857142857143
0.4,0.05,0.55,0.942857142857143
0.4,0.1,0.5,0.942857142857143
0.4,0.15,0.45,0.942857142857143
0.4,0.2,0.4,0.942857142857143
0.4,0.25,0.35,1.0
0.4,0.3,0.3,1.0
0.4,0.35,0.25,1.0
0.4,0.4,0.2,1.0
0.4,0.45,0.15,1.0
0.4,0.5,0.1,0.942857142857143
0.4,0.55,0.05,0.8285714285714287
0.4,0.6,0.0,0.8285714285714287
0.45,0.0,0.55,0.942857142857143
0.45,0.05,0.5,0.942857142857143
0.45,0.1,0.45,0.942857142857143
0.45,0.15,0.4,1.0
0.45,0.2,0.35,1.0
0.45,0.25,0.3,1.0
0.45,0.3,0.25,1.0
0.45,0.35,0.2,1.0
0.45,0.4,0.15,1.0
0.45,0.45,0.1,0.942857142857143
0.45,0.5,0.05,0.942857142857143
0.45,0.55,0.0,0.942857142857143
0.5,0.0,0.5,0.942857142857143
0.5,0.05,0.45,1.0
0.5,0.1,0.4,1.0
0.5,0.15,0.35,1.0
0.5,0.2,0.3,1.0
0.5,0.25,0.25,1.0
0.5,0.3,0.2,1.0
0.5,0.35,0.15,1.0
0.5,0.4,0.1,0.942857142857143
0.5,0.45,0.05,0.942857142857143
0.5,0.5,0.0,0.942857142857143
0.55,0.0,0.45,1.0
0.55,0.05,0.4,1.0
0.55,0.1,0.35,1.0
0.55,0.15,0.3,1.0
0.55,0.2,0.25,1.0
0.55,0.25,0.2,1.0
0.55,0.3,0.15,1.0
0.55,0.35,0.1,1.0
0.55,0.4,0.05,0.942857142857143
0.55,0.45,-0.0,0.942857142857143
0.6,0.0,0.4,1.0
0.6,0.05,0.35,1.0
0.6,0.1,0.3,1.0
0.6,0.15,0.25,1.0
0.6,0.2,0.2,1.0
0.6,0.25,0.15,1.0
0.6,0.3,0.1,1.0
0.6,0.35,0.05,0.942857142857143
0.6,0.4,0.0,0.942857142857143
0.65,0.0,0.35,1.0
0.65,0.05,0.3,1.0
0.65,0.1,0.25,1.0
0.65,0.15,0.2,1.0
0.65,0.2,0.15,1.0
0.65,0.25,0.1,1.0
0.65,0.3,0.05,0.942857142857143
0.65,0.35,0.0,0.942857142857143
0.7,0.0,0.3,1.0
0.7,0.05,0.25,1.0
0.7,0.1,0.2,1.0
0.7,0.15,0.15,1.0
0.7,0.2,0.1,1.0
0.7,0.25,0.05,0.942857142857143
0.7,0.3,0.0,0.942857142857143
0.75,0.0,0.25,1.0
0.75,0.05,0.2,1.0
0.75,0.1,0.15,1.0
0.75,0.15,0.1,1.0
0.75,0.2,0.05,1.0
0.75,0.25,0.0,0.942857142857143
0.8,0.0,0.2,1.0
0.8,0.05,0.15,1.0
0.8,0.1,0.1,1.0
0.8,0.15,0.05,1.0
0.8,0.2,-0.0,0.942857142857143
0.85,0.0,0.15,1.0
0.85,0.05,0.1,1.0
0.85,0.1,0.05,1.0
0.85,0.15,0.0,0.942857142857143
0.9,0.0,0.1,1.0
0.9,0.05,0.05,1.0
0.9,0.1,-0.0,0.942857142857143
0.95,0.0,0.05,1.0
0.95,0.05,0.0,1.0
1.0,0.0,0.0,1.0
