doc_id,section_id,corpus_type,year,y1_ebi,y2_sa,y3_civil,y4_nv,y5_corpus_type,y6_period,y10_rep,y7_surprisal,y8_mafapo,y9_cidh,y11_conv_rest,text_length_chars,n_sa_instances,n_nv_instances,n_rep_instances,n_nv_questioned,processing_time_s,has_warning
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,CONTRIBUCION_VERDAD_00,B,2025,0.0,1.0,0.9839,0.0,2,1.0,0.1293,,,,,7998,52,0,2,0,2.583,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,CONTRIBUCION_VERDAD_01,B,2025,0.0,1.0,0.9898,0.0914,2,1.0,0.7258,,,,,8000,38,2,12,0,3.363,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,CONTRIBUCION_VERDAD_02,B,2025,0.0,1.0,0.9858,0.0343,2,1.0,0.2941,,,,,7999,67,1,5,0,3.567,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,CONTRIBUCION_VERDAD_03,B,2025,0.0,1.0,0.9819,0.0775,2,1.0,0.1831,,,,,7999,64,2,4,0,3.825,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,CONTRIBUCION_VERDAD_04,B,2025,0.0,1.0,0.9881,0.119,2,1.0,0.392,,,,,8000,59,2,5,0,2.995,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,CONTRIBUCION_VERDAD_05,B,2025,0.0,1.0,0.9903,0.0439,2,1.0,0.3454,,,,,8000,71,1,7,0,3.375,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,CONTRIBUCION_VERDAD_06,B,2025,0.0,1.0,0.991,0.1149,2,1.0,0.2586,,,,,7999,43,2,4,0,3.245,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,CONTRIBUCION_VERDAD_07,B,2025,0.0,1.0,0.9942,0.2308,2,1.0,0.3365,,,,,7999,30,6,7,0,3.244,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,CONTRIBUCION_VERDAD_08,B,2025,0.0,1.0,0.9945,0.0,2,1.0,0.1215,,,,,8000,26,0,2,0,3.361,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,CONTRIBUCION_VERDAD_09,B,2025,0.0,0.5,0.9938,0.0,2,1.0,0.0,,,,,583,1,0,0,0,0.542,False
