doc_id,section_id,corpus_type,year,y1_ebi,y2_sa,y3_civil,y4_nv,y5_corpus_type,y6_period,y10_rep,y7_surprisal,y8_mafapo,y9_cidh,y11_conv_rest,text_length_chars,n_sa_instances,n_nv_instances,n_rep_instances,n_nv_questioned,processing_time_s,has_warning,y8_cs,y9_cs,y8_mafapo_cs,y9_cidh_cs,corpus,y2_sa_z,y4_nv_z,y10_rep_z,y8_mafapo_cs_z,y9_cidh_cs_z,DIS_n1,IEI_n1
01807c73506b81282e53ddbc4cf7286176cd5308a4ce76243a3ff3af0e5fc8d7,CONSIDERACIONES,A-CSJ,2013.0,0.0,1.0,0.995,0.1905,1,0.6552,0.0,0.7044787784814261,0.3012205206975924,0.245297269600333,,8000,74,3,0,0,1.86,False,0.2162932157516479,0.2497575879096985,0.2162932157516479,0.2497575879096985,A,0.615440636199528,0.4603305703234268,0.375536481290374,0.5387376397894504,0.48192049005183263,0.563858977895922,0.524917618259456
01807c73506b81282e53ddbc4cf7286176cd5308a4ce76243a3ff3af0e5fc8d7,DECISIÓN,A-CSJ,2013.0,0.0,0.9187,0.9928,0.0,1,0.6552,0.0,0.6437872830180572,0.2253061988513125,0.2479181923443597,,1223,6,0,0,0,0.378,False,0.2160991430282592,0.2350721359252929,0.2160991430282592,0.2350721359252929,A,0.5327896358873615,0.3133564794428533,0.375536481290374,0.5375406206053106,0.387950436562157,0.483490195978463,0.4689611281269286
036f7d338673e78683eed13caa9ca8464b307abff7ca2bde122b327871cb7991,DECISIÓN,A-CSJ,,0.0,1.0,0.9974,0.2333,0,0.5,0.0,0.6464726532224632,0.2415555521560479,0.2332014888051842,,904,8,1,0,0,0.299,False,0.1997628808021545,0.2472068071365356,0.1997628808021545,0.2472068071365356,A,0.615440636199528,0.495378081259308,0.375536481290374,0.43660442399868227,0.46531172935308107,0.5761256067234803,0.4946111183269072
0453281fce29cacfd49d0150b73fa6e021280ddc3eff06e464e0981bf51c8264,HECHOS,A-CSJ,2015.0,0.0,1.0,0.9824,0.8333,1,0.7241,1.0,0.6703702783148865,0.1820436131942646,0.2058615939140656,,975,5,1,1,0,0.306,False,0.2051552534103393,0.265583872795105,0.2051552534103393,0.265583872795105,A,0.615440636199528,0.8756068964065898,0.9940963974781457,0.4697525985855571,0.5844419700012289,0.5236377171686976,0.5013842481112091
0453281fce29cacfd49d0150b73fa6e021280ddc3eff06e464e0981bf51c8264,CARGOS,A-CSJ,2015.0,0.0,1.0,0.9861,0.7857,1,0.7241,0.0952,0.7376664544009526,0.272178708327097,0.2612984338972408,,8000,40,12,1,0,1.774,False,0.1494669318199157,0.1958874464035034,0.1494669318199157,0.1958874464035034,A,0.615440636199528,0.8575620546898202,0.5069736723958057,0.18196411761792736,0.18551121331109335,0.6634588400925301,0.41378546302178715
0453281fce29cacfd49d0150b73fa6e021280ddc3eff06e464e0981bf51c8264,CONSIDERACIONES,A-CSJ,2015.0,0.0,1.0,0.9946,0.45,1,0.7241,0.325,0.7068567081217488,0.2527764786642995,0.2214645304213207,,8000,55,6,3,0,1.859,False,0.1965851783752441,0.2470471858978271,0.1965851783752441,0.2470471858978271,A,0.615440636199528,0.6666328959744321,0.7896431134505053,0.41731335534506137,0.4642745653540762,0.5118328022257345,0.4476441887450937
0453281fce29cacfd49d0150b73fa6e021280ddc3eff06e464e0981bf51c8264,DECISIÓN,A-CSJ,2015.0,0.0,1.0,0.9952,0.2778,1,0.7241,0.0,0.6770739834046626,0.2286882870257527,0.2572901862219781,,874,6,1,0,0,0.334,False,0.2337839007377624,0.2788824439048767,0.2337839007377624,0.2788824439048767,A,0.615440636199528,0.5318610378917045,0.375536481290374,0.6432067770054152,0.6656099680748715,0.5888946415448192,0.6161023287817209
04d6e5308972acfd85429aaf0d6222a1715042427efb66c6f66dce61317a7561,CONSIDERACIONES,A-CE,2010.0,0.0,1.0,0.9801,0.0324,0,0.5517,0.0688,0.7131803038572619,0.2865878928999575,0.2499910326845491,,8000,59,1,1,0,2.128,False,0.313835859298706,0.3451180458068847,0.313835859298706,0.3451180458068847,A,0.615440636199528,0.3366863790672415,0.46982111529962345,0.9292927735720109,0.9182256186821492,0.4922981207534823,0.6991049661935194
04d6e5308972acfd85429aaf0d6222a1715042427efb66c6f66dce61317a7561,DECISIÓN,A-CE,2010.0,0.0,1.0,0.9823,0.1613,0,0.5517,0.4879,0.6764819443991581,0.2211136239928331,0.260617292944127,,7338,34,3,7,0,2.186,False,0.17938232421875,0.2258766889572143,0.17938232421875,0.2258766889572143,A,0.615440636199528,0.4366219330972226,0.9038440845309565,0.31849050829189507,0.33267257806395134,0.3970686738945758,0.30639285988306786
04e1eb5aaa561608b95e411f6164d101e4c09ecfbf3514bf4802ee3044fa84f7,HECHOS,A-CE,2017.0,0.0,1.0,0.9912,0.4762,0,0.7931,0.1607,0.7060699544317853,0.2468461417129528,0.2363490844577715,,4159,29,4,1,0,1.283,False,0.1443036794662475,0.1898087263107299,0.1443036794662475,0.1898087263107299,A,0.615440636199528,0.6854681615705052,0.5979610080552799,0.1636622405904328,0.16270709098091568,0.5759297768029277,0.3415980411844049
04e1eb5aaa561608b95e411f6164d101e4c09ecfbf3514bf4802ee3044fa84f7,CONSIDERACIONES,A-CE,2017.0,0.0,1.0,0.9931,0.7333,0,0.7931,0.0,0.7138013204461708,0.2531122832406441,0.2111831366590756,,8000,105,11,0,0,2.001,False,0.1972742080688476,0.2412400245666504,0.1972742080688476,0.2412400245666504,A,0.615440636199528,0.8352282764463349,0.375536481290374,0.42147696719035094,0.42682192725105744,0.6950731750389397,0.5665810968203432
04e1eb5aaa561608b95e411f6164d101e4c09ecfbf3514bf4802ee3044fa84f7,DECISIÓN,A-CE,2017.0,0.0,1.0,0.994,0.0,0,0.7931,0.0,0.6768973808553447,0.2154083851021323,0.2444511624235459,,1043,7,0,0,0,0.36,False,0.217328131198883,0.2611383199691772,0.217328131198883,0.2611383199691772,A,0.615440636199528,0.3133564794428533,0.375536481290374,0.5451130126124883,0.5559933405330051,0.5124180460877212,0.5052200461236104
057f5cc436d1502f742a53154eb9aaf8aa1e2a9b31896c22b66756f059831b16,HECHOS,A-CSJ,2016.0,0.0,1.0,0.9813,0.925,1,0.7586,0.0,0.6998816818216416,0.1811239748035196,0.2113557355539,,1312,4,4,0,0,0.442,False,0.1986026763916015,0.2745041847229004,0.1986026763916015,0.2745041847229004,A,0.615440636199528,0.9048699092374233,0.375536481290374,0.42953563144495327,0.6396937176822286,0.7194477465158207,0.6293863955934603
057f5cc436d1502f742a53154eb9aaf8aa1e2a9b31896c22b66756f059831b16,CONSIDERACIONES,A-CSJ,2016.0,0.0,1.0,0.9879,0.3232,1,0.7586,0.0,0.7139791201269343,0.2798071854598383,0.2639393816052995,,8000,63,7,0,0,1.862,False,0.2375556826591491,0.3009083867073059,0.2375556826591491,0.3009083867073059,A,0.615440636199528,0.5687314266594934,0.375536481290374,0.6643879223764327,0.7796652274046838,0.6017992776135452,0.6555443787194868
057f5cc436d1502f742a53154eb9aaf8aa1e2a9b31896c22b66756f059831b16,DECISIÓN,A-CSJ,2016.0,0.0,0.65,0.993,0.0,1,0.7586,0.0,0.6476960273643618,0.2039159153318158,0.2329033864867249,,402,2,0,0,0,0.217,False,0.1993750929832458,0.2276062369346618,0.1993750929832458,0.2276062369346618,A,0.27116699167845204,0.3133564794428533,0.375536481290374,0.4342387298904336,0.3427763862693383,0.39192227050534467,0.4237706563181579
