y2_sa,y4_nv,y10_rep,corpus,corpus_type,nivel,subcaso,y2_sa_z,y4_nv_z,y10_rep_z,DIS_n2
1.0,0.1905,0.0,A,A-CSJ,AB,,0.6351615916464532,0.4409838939773533,0.38088369574850534,0.5623858112437807
0.9187,0.0,0.0,A,A-CSJ,AB,,0.561768921023154,0.30669628595899817,0.38088369574850534,0.4896977137192016
1.0,0.2333,0.0,A,A-CSJ,AB,,0.6351615916464532,0.4732229812759495,0.38088369574850534,0.5736694917982893
1.0,0.8333,1.0,A,A-CSJ,AB,,0.6351615916464532,0.8474382405011018,0.9872575527369554,0.5227326754305577
1.0,0.7857,0.0952,A,A-CSJ,AB,,0.6351615916464532,0.8277999038744797,0.493642406287012,0.6639438015462229
1.0,0.45,0.325,A,A-CSJ,AB,,0.6351615916464532,0.6343174975617233,0.7475962546148324,0.520038804838412
1.0,0.2778,0.0,A,A-CSJ,AB,,0.6351615916464532,0.5069771895359981,0.38088369574850534,0.5854834646893063
1.0,0.0324,0.0688,A,A-CE,AB,,0.6351615916464532,0.32800328924820116,0.46180042388218034,0.4985675811484749
1.0,0.1613,0.4879,A,A-CE,AB,,0.6351615916464532,0.419254681823451,0.866872373962326,0.40898398352576865
1.0,0.4762,0.1607,A,A-CE,AB,,0.6351615916464532,0.6525662464133577,0.5723174450357621,0.5790095098102052
1.0,0.7333,0.0,A,A-CE,AB,,0.6351615916464532,0.8039244547935991,0.38088369574850534,0.6894150075294667
1.0,0.0,0.0,A,A-CE,AB,,0.6351615916464532,0.30669628595899817,0.38088369574850534,0.5153851484373564
1.0,0.925,0.0,A,A-CSJ,AB,,0.6351615916464532,0.8800695842450136,0.38088369574850534,0.7160658028374618
1.0,0.3232,0.0,A,A-CSJ,AB,,0.6351615916464532,0.5413465111817226,0.38088369574850534,0.5975127272653099
0.65,0.0,0.0,A,A-CSJ,AB,,0.31793770877002864,0.30669628595899817,0.38088369574850534,0.40435678943060777
1.0,0.5641,0.0,A,A-CE,AB,,0.6351615916464532,0.7103821999663528,0.38088369574850534,0.6566752183399305
1.0,0.5,0.4643,A,A-CE,AB,,0.6351615916464532,0.6687652425999515,0.8531418688479554,0.500431831331855
1.0,0.0778,0.6,A,A-CE,AB,,0.6351615916464532,0.35907623410009015,0.918014870383792,0.3725787778961525
0.34,0.3333,0.0,A,A-CSJ,AB,,0.1267104364066251,0.5489508353339617,0.38088369574850534,0.4222163363846538
1.0,0.3854,0.0,A,A-CSJ,AB,,0.6351615916464532,0.5877400444219274,0.38088369574850534,0.6137504638993816
0.52,0.3333,0.0,A,A-CSJ,AB,,0.2222342503722248,0.5489508353339617,0.38088369574850534,0.4556496712726137
1.0,0.1111,0.0,A,A-CE,AB,,0.6351615916464532,0.38266246566609474,0.38088369574850534,0.5419733113348402
0.6262,0.1296,0.0,A,A-CE,AB,,0.29883147925282516,0.3960170669759619,0.38088369574850534,0.4289318824555238
0.5417,0.0,0.0,A,A-CE,AB,,0.23667489630207847,0.30669628595899817,0.38088369574850534,0.3759148050668252
1.0,0.3214,0.1607,A,A-CSJ,AB,,0.6351615916464532,0.5399891570743226,0.5723174450357621,0.5396075285415429
1.0,0.7018,0.2368,A,A-CSJ,AB,,0.6351615916464532,0.7884083085209409,0.6591067887046006,0.6005174284472077
0.0,0.0,0.0,A,A-CSJ,AB,,0.03877604189617447,0.30669628595899817,0.38088369574850534,0.3066502060247588
1.0,0.0,0.0,A,A-CSJ,AB,,0.6351615916464532,0.30669628595899817,0.38088369574850534,0.5153851484373564
0.65,0.0,0.0,A,A-CSJ,AB,,0.31793770877002864,0.30669628595899817,0.38088369574850534,0.40435678943060777
1.0,0.3188,0.2717,A,A-CSJ,AB,,0.6351615916464532,0.5380274919573124,0.6959499497374192,0.5018311943400922
0.65,0.0,0.0,A,A-CSJ,AB,,0.31793770877002864,0.30669628595899817,0.38088369574850534,0.40435678943060777
1.0,0.3403,0.0726,A,A-CSJ,AB,,0.6351615916464532,0.5542079924067901,0.4663706907302152,0.5763681471995706
0.7429,0.0,0.0,A,A-CSJ,AB,,0.39807011110993257,0.30669628595899817,0.38088369574850534,0.43240313024957416
