w_SA,w_NV,w_REP,d_cohen,p_valor,sig
0.05,0.05,0.9,0.4953,0.0001,***
0.05,0.1,0.85,0.4941,0.0001,***
0.05,0.15,0.8,0.4903,0.0003,***
0.05,0.2,0.75,0.4829,0.0005,***
0.05,0.25,0.7,0.4708,0.0009,***
0.05,0.3,0.65,0.4532,0.0016,**
0.05,0.35,0.6,0.4293,0.008,**
0.05,0.4,0.55,0.3989,0.0456,*
0.05,0.45,0.5,0.3623,0.0598,n.s.
0.05,0.5,0.45,0.3209,0.0685,n.s.
0.05,0.55,0.4,0.2764,0.0853,n.s.
0.05,0.6,0.35,0.2308,0.1751,n.s.
0.05,0.65,0.3,0.186,0.5038,n.s.
0.05,0.7,0.25,0.1433,0.9799,n.s.
0.05,0.75,0.2,0.1036,0.3842,n.s.
0.05,0.8,0.15,0.0674,0.2232,n.s.
0.05,0.85,0.1,0.0347,0.1242,n.s.
0.05,0.9,0.05,0.0055,0.0481,*
0.1,0.05,0.85,0.4962,0.0001,***
0.1,0.1,0.8,0.4939,0.0001,***
0.1,0.15,0.75,0.4882,0.0001,***
0.1,0.2,0.7,0.4781,0.0002,***
0.1,0.25,0.65,0.4623,0.0006,***
0.1,0.3,0.6,0.4399,0.0026,**
0.1,0.35,0.55,0.4104,0.0105,*
0.1,0.4,0.5,0.3739,0.0314,*
0.1,0.45,0.45,0.3318,0.0453,*
0.1,0.5,0.4,0.2858,0.065,n.s.
0.1,0.55,0.35,0.2382,0.1063,n.s.
0.1,0.6,0.3,0.1912,0.3126,n.s.
0.1,0.65,0.25,0.1464,0.9644,n.s.
0.1,0.7,0.2,0.1048,0.4775,n.s.
0.1,0.75,0.15,0.0671,0.2011,n.s.
0.1,0.8,0.1,0.0332,0.1332,n.s.
0.1,0.85,0.05,0.003,0.0704,n.s.
0.15,0.05,0.8,0.4951,0.0001,***
0.15,0.1,0.75,0.491,0.0001,***
0.15,0.15,0.7,0.4826,0.0002,***
0.15,0.2,0.65,0.4687,0.0004,***
0.15,0.25,0.6,0.448,0.001,***
0.15,0.3,0.55,0.4198,0.0018,**
0.15,0.35,0.5,0.3839,0.01,**
0.15,0.4,0.45,0.3414,0.0221,*
0.15,0.45,0.4,0.2943,0.0371,*
0.15,0.5,0.35,0.245,0.0975,n.s.
0.15,0.55,0.3,0.196,0.2896,n.s.
0.15,0.6,0.25,0.1492,0.6851,n.s.
0.15,0.65,0.2,0.1058,0.7229,n.s.
0.15,0.7,0.15,0.0665,0.2813,n.s.
0.15,0.75,0.1,0.0314,0.2138,n.s.
0.15,0.8,0.05,0.0003,0.1038,n.s.
0.2,0.05,0.75,0.4909,0.0001,***
0.2,0.1,0.7,0.4841,0.0002,***
0.2,0.15,0.65,0.472,0.0003,***
0.2,0.2,0.6,0.4531,0.0008,***
0.2,0.25,0.55,0.4264,0.0018,**
0.2,0.3,0.5,0.3915,0.0045,**
0.2,0.35,0.45,0.3492,0.0178,*
0.2,0.4,0.4,0.3014,0.0301,*
0.2,0.45,0.35,0.2507,0.0722,n.s.
0.2,0.5,0.3,0.2,0.1632,n.s.
0.2,0.55,0.25,0.1514,0.4226,n.s.
0.2,0.6,0.2,0.1063,0.9452,n.s.
0.2,0.65,0.15,0.0656,0.4274,n.s.
0.2,0.7,0.1,0.0294,0.2973,n.s.
0.2,0.75,0.05,0.0026,0.1905,n.s.
0.25,0.05,0.7,0.4823,0.0003,***
0.25,0.1,0.65,0.4718,0.0005,***
0.25,0.15,0.6,0.4546,0.0007,***
0.25,0.2,0.55,0.4296,0.0014,**
0.25,0.25,0.5,0.396,0.0034,**
0.25,0.3,0.45,0.3544,0.0118,*
0.25,0.35,0.4,0.3064,0.0311,*
0.25,0.4,0.35,0.2549,0.0591,n.s.
0.25,0.45,0.3,0.2029,0.1107,n.s.
0.25,0.5,0.25,0.1528,0.2759,n.s.
0.25,0.55,0.2,0.1063,0.6627,n.s.
0.25,0.6,0.15,0.0644,0.7178,n.s.
0.25,0.65,0.1,0.0271,0.4425,n.s.
0.25,0.7,0.05,0.0056,0.3254,n.s.
0.3,0.05,0.65,0.4679,0.0006,***
0.3,0.1,0.6,0.4523,0.001,***
0.3,0.15,0.55,0.4289,0.0017,**
0.3,0.2,0.5,0.3969,0.0033,**
0.3,0.25,0.45,0.3564,0.0064,**
0.3,0.3,0.4,0.3089,0.0348,*
0.3,0.35,0.35,0.2572,0.0682,n.s.
0.3,0.4,0.3,0.2044,0.1151,n.s.
0.3,0.45,0.25,0.1532,0.2409,n.s.
0.3,0.5,0.2,0.1057,0.4442,n.s.
0.3,0.55,0.15,0.0627,0.8876,n.s.
0.3,0.6,0.1,0.0246,0.6188,n.s.
0.3,0.65,0.05,0.0088,0.4379,n.s.
0.35,0.05,0.6,0.446,0.0011,**
0.35,0.1,0.55,0.4241,0.0026,**
0.35,0.15,0.5,0.3938,0.0033,**
0.35,0.2,0.45,0.3547,0.0087,**
0.35,0.25,0.4,0.3083,0.0252,*
0.35,0.3,0.35,0.2571,0.0657,n.s.
0.35,0.35,0.3,0.2042,0.1146,n.s.
0.35,0.4,0.25,0.1525,0.1698,n.s.
0.35,0.45,0.2,0.1043,0.3715,n.s.
0.35,0.5,0.15,0.0606,0.6814,n.s.
0.35,0.55,0.1,0.0218,0.7664,n.s.
0.35,0.6,0.05,0.0121,0.5342,n.s.
0.4,0.05,0.55,0.4155,0.0025,**
0.4,0.1,0.5,0.3867,0.0045,**
0.4,0.15,0.45,0.3493,0.0087,**
0.4,0.2,0.4,0.3045,0.0164,*
0.4,0.25,0.35,0.2543,0.0608,n.s.
0.4,0.3,0.3,0.202,0.1076,n.s.
0.4,0.35,0.25,0.1505,0.1434,n.s.
0.4,0.4,0.2,0.102,0.2664,n.s.
0.4,0.45,0.15,0.0579,0.555,n.s.
0.4,0.5,0.1,0.0188,0.9528,n.s.
0.4,0.55,0.05,0.0155,0.5792,n.s.
0.45,0.05,0.5,0.376,0.0051,**
0.45,0.1,0.45,0.3405,0.0092,**
0.45,0.15,0.4,0.2975,0.0151,*
0.45,0.2,0.35,0.249,0.0255,*
0.45,0.25,0.3,0.1979,0.0981,n.s.
0.45,0.3,0.25,0.1471,0.1449,n.s.
0.45,0.35,0.2,0.0989,0.2142,n.s.
0.45,0.4,0.15,0.0549,0.5102,n.s.
0.45,0.45,0.1,0.0156,0.996,n.s.
0.45,0.5,0.05,0.0189,0.7262,n.s.
0.5,0.05,0.45,0.3286,0.0101,*
0.5,0.1,0.4,0.2877,0.0131,*
0.5,0.15,0.35,0.2413,0.0264,*
0.5,0.2,0.3,0.1919,0.0633,n.s.
0.5,0.25,0.25,0.1423,0.1333,n.s.
0.5,0.3,0.2,0.095,0.1555,n.s.
0.5,0.35,0.15,0.0513,0.3941,n.s.
0.5,0.4,0.1,0.0122,0.8402,n.s.
0.5,0.45,0.05,0.0223,0.8376,n.s.
0.55,0.05,0.4,0.2756,0.0134,*
0.55,0.1,0.35,0.2315,0.0188,*
0.55,0.15,0.3,0.1843,0.0323,*
0.55,0.2,0.25,0.1365,0.1265,n.s.
0.55,0.25,0.2,0.0903,0.1681,n.s.
0.55,0.3,0.15,0.0475,0.2791,n.s.
0.55,0.35,0.1,0.0088,0.686,n.s.
0.55,0.4,0.05,0.0255,0.9133,n.s.
0.6,0.05,0.35,0.2203,0.0178,*
0.6,0.1,0.3,0.1755,0.0274,*
0.6,0.15,0.25,0.1297,0.0643,n.s.
0.6,0.2,0.2,0.0851,0.1534,n.s.
0.6,0.25,0.15,0.0433,0.2152,n.s.
0.6,0.3,0.1,0.0053,0.5516,n.s.
0.6,0.35,0.05,0.0286,0.9355,n.s.
0.65,0.05,0.3,0.1658,0.0238,*
0.65,0.1,0.25,0.1223,0.0358,*
0.65,0.15,0.2,0.0795,0.1247,n.s.
0.65,0.2,0.15,0.039,0.1866,n.s.
0.65,0.25,0.1,0.0018,0.4405,n.s.
0.65,0.3,0.05,0.0316,0.9546,n.s.
0.7,0.05,0.25,0.1145,0.0323,*
0.7,0.1,0.2,0.0736,0.0485,*
0.7,0.15,0.15,0.0346,0.183,n.s.
0.7,0.2,0.1,0.0015,0.3118,n.s.
0.7,0.25,0.05,0.0343,0.9835,n.s.
0.75,0.05,0.2,0.0677,0.0358,*
0.75,0.1,0.15,0.0303,0.1018,n.s.
0.75,0.15,0.1,0.0047,0.2101,n.s.
0.75,0.2,0.05,0.0367,0.8669,n.s.
0.8,0.05,0.15,0.026,0.052,n.s.
0.8,0.1,0.1,0.0077,0.1899,n.s.
0.8,0.15,0.05,0.0389,0.5922,n.s.
0.85,0.05,0.1,0.0105,0.0693,n.s.
0.85,0.1,0.05,0.0408,0.3188,n.s.
0.9,0.05,0.05,0.0424,0.2205,n.s.
