w_y1,w_SA,w_NV,d_cohen,p_valor,sig
0.05,0.05,0.9,0.0044,0.056,n.s.
0.05,0.1,0.85,0.0072,0.0683,n.s.
0.05,0.15,0.8,0.0102,0.1212,n.s.
0.05,0.2,0.75,0.0133,0.1803,n.s.
0.05,0.25,0.7,0.0166,0.3153,n.s.
0.05,0.3,0.65,0.02,0.4092,n.s.
0.05,0.35,0.6,0.0235,0.4915,n.s.
0.05,0.4,0.55,0.027,0.5266,n.s.
0.05,0.45,0.5,0.0304,0.5581,n.s.
0.05,0.5,0.45,0.0338,0.7184,n.s.
0.05,0.55,0.4,0.037,0.731,n.s.
0.05,0.6,0.35,0.04,0.7487,n.s.
0.05,0.65,0.3,0.0427,0.8173,n.s.
0.05,0.7,0.25,0.0452,0.8326,n.s.
0.05,0.75,0.2,0.0474,0.8768,n.s.
0.05,0.8,0.15,0.0493,0.9446,n.s.
0.05,0.85,0.1,0.0509,0.9113,n.s.
0.05,0.9,0.05,0.0523,0.682,n.s.
0.1,0.05,0.85,0.0133,0.0671,n.s.
0.1,0.1,0.8,0.011,0.0833,n.s.
0.1,0.15,0.75,0.0085,0.1735,n.s.
0.1,0.2,0.7,0.0058,0.252,n.s.
0.1,0.25,0.65,0.0029,0.3746,n.s.
0.1,0.3,0.6,0.0002,0.5248,n.s.
0.1,0.35,0.55,0.0034,0.5618,n.s.
0.1,0.4,0.5,0.0067,0.6165,n.s.
0.1,0.45,0.45,0.0101,0.6616,n.s.
0.1,0.5,0.4,0.0134,0.8356,n.s.
0.1,0.55,0.35,0.0167,0.887,n.s.
0.1,0.6,0.3,0.0198,0.9699,n.s.
0.1,0.65,0.25,0.0228,0.998,n.s.
0.1,0.7,0.2,0.0256,0.9437,n.s.
0.1,0.75,0.15,0.0281,0.8579,n.s.
0.1,0.8,0.1,0.0304,0.6596,n.s.
0.1,0.85,0.05,0.0325,0.3898,n.s.
0.15,0.05,0.8,0.0328,0.0827,n.s.
0.15,0.1,0.75,0.0311,0.1055,n.s.
0.15,0.15,0.7,0.0291,0.2155,n.s.
0.15,0.2,0.65,0.0269,0.3103,n.s.
0.15,0.25,0.6,0.0245,0.4577,n.s.
0.15,0.3,0.55,0.0218,0.6193,n.s.
0.15,0.35,0.5,0.0188,0.6836,n.s.
0.15,0.4,0.45,0.0157,0.7538,n.s.
0.15,0.45,0.4,0.0123,0.9423,n.s.
0.15,0.5,0.35,0.0089,0.9926,n.s.
0.15,0.55,0.3,0.0054,0.8914,n.s.
0.15,0.6,0.25,0.002,0.8667,n.s.
0.15,0.65,0.2,0.0014,0.7992,n.s.
0.15,0.7,0.15,0.0047,0.6915,n.s.
0.15,0.75,0.1,0.0077,0.4828,n.s.
0.15,0.8,0.05,0.0106,0.2586,n.s.
0.2,0.05,0.75,0.0541,0.1075,n.s.
0.2,0.1,0.7,0.0531,0.1429,n.s.
0.2,0.15,0.65,0.0519,0.2819,n.s.
0.2,0.2,0.6,0.0503,0.4426,n.s.
0.2,0.25,0.55,0.0484,0.6296,n.s.
0.2,0.3,0.5,0.046,0.7474,n.s.
0.2,0.35,0.45,0.0433,0.8199,n.s.
0.2,0.4,0.4,0.0403,0.8865,n.s.
0.2,0.45,0.35,0.0369,0.9135,n.s.
0.2,0.5,0.3,0.0332,0.8492,n.s.
0.2,0.55,0.25,0.0294,0.7386,n.s.
0.2,0.6,0.2,0.0254,0.6572,n.s.
0.2,0.65,0.15,0.0214,0.548,n.s.
0.2,0.7,0.1,0.0175,0.3822,n.s.
0.2,0.75,0.05,0.0137,0.2009,n.s.
0.25,0.05,0.7,0.0777,0.1401,n.s.
0.25,0.1,0.65,0.0775,0.1864,n.s.
0.25,0.15,0.6,0.0771,0.3522,n.s.
0.25,0.2,0.55,0.0762,0.5854,n.s.
0.25,0.25,0.5,0.0748,0.7961,n.s.
0.25,0.3,0.45,0.0729,0.8689,n.s.
0.25,0.35,0.4,0.0704,0.9557,n.s.
0.25,0.4,0.35,0.0673,0.8422,n.s.
0.25,0.45,0.3,0.0637,0.7546,n.s.
0.25,0.5,0.25,0.0596,0.6216,n.s.
