doc_id,section_id,corpus_type,year,y1_ebi,y2_sa,y3_civil,y4_nv,y5_corpus_type,y6_period,y10_rep,y7_surprisal,y8_mafapo,y9_cidh,y11_conv_rest,text_length_chars,n_sa_instances,n_nv_instances,n_rep_instances,n_nv_questioned,processing_time_s,has_warning,y8_cs,y9_cs,y8_mafapo_cs,y9_cidh_cs
01807c73506b81282e53ddbc4cf7286176cd5308a4ce76243a3ff3af0e5fc8d7,CONSIDERACIONES,A-CSJ,2013.0,0.0,1.0,0.995,0.1905,1,0.6552,0.0,0.7044787784814261,0.3012205206975924,0.245297269600333,,8000,74,3,0,0,1.86,False,0.2162932157516479,0.2497575879096985,0.2162932157516479,0.2497575879096985
01807c73506b81282e53ddbc4cf7286176cd5308a4ce76243a3ff3af0e5fc8d7,DECISIÓN,A-CSJ,2013.0,0.0,0.9187,0.9928,0.0,1,0.6552,0.0,0.6437872830180572,0.2253061988513125,0.2479181923443597,,1223,6,0,0,0,0.378,False,0.2160991430282592,0.2350721359252929,0.2160991430282592,0.2350721359252929
036f7d338673e78683eed13caa9ca8464b307abff7ca2bde122b327871cb7991,DECISIÓN,A-CSJ,,0.0,1.0,0.9974,0.2333,0,0.5,0.0,0.6464726532224632,0.2415555521560479,0.2332014888051842,,904,8,1,0,0,0.299,False,0.1997628808021545,0.2472068071365356,0.1997628808021545,0.2472068071365356
0453281fce29cacfd49d0150b73fa6e021280ddc3eff06e464e0981bf51c8264,HECHOS,A-CSJ,2015.0,0.0,1.0,0.9824,0.8333,1,0.7241,1.0,0.6703702783148865,0.1820436131942646,0.2058615939140656,,975,5,1,1,0,0.306,False,0.2051552534103393,0.265583872795105,0.2051552534103393,0.265583872795105
0453281fce29cacfd49d0150b73fa6e021280ddc3eff06e464e0981bf51c8264,CARGOS,A-CSJ,2015.0,0.0,1.0,0.9861,0.7857,1,0.7241,0.07692307692307693,0.7376664544009526,0.272178708327097,0.2612984338972408,,8000,40,12,1,0,1.774,False,0.1494669318199157,0.1958874464035034,0.1494669318199157,0.1958874464035034
0453281fce29cacfd49d0150b73fa6e021280ddc3eff06e464e0981bf51c8264,CONSIDERACIONES,A-CSJ,2015.0,0.0,1.0,0.9946,0.45,1,0.7241,0.203125,0.7068567081217488,0.2527764786642995,0.2214645304213207,,8000,55,6,3,0,1.859,False,0.1965851783752441,0.2470471858978271,0.1965851783752441,0.2470471858978271
0453281fce29cacfd49d0150b73fa6e021280ddc3eff06e464e0981bf51c8264,DECISIÓN,A-CSJ,2015.0,0.0,1.0,0.9952,0.2778,1,0.7241,0.0,0.6770739834046626,0.2286882870257527,0.2572901862219781,,874,6,1,0,0,0.334,False,0.2337839007377624,0.2788824439048767,0.2337839007377624,0.2788824439048767
04d6e5308972acfd85429aaf0d6222a1715042427efb66c6f66dce61317a7561,CONSIDERACIONES,A-CE,2010.0,0.0,1.0,0.9801,0.0324,0,0.5517,0.04070378151260504,0.7131803038572619,0.2865878928999575,0.2499910326845491,,8000,59,1,32,0,2.128,False,0.313835859298706,0.3451180458068847,0.313835859298706,0.3451180458068847
04d6e5308972acfd85429aaf0d6222a1715042427efb66c6f66dce61317a7561,DECISIÓN,A-CE,2010.0,0.0,1.0,0.9823,0.1613,0,0.5517,0.3658536585365853,0.6764819443991581,0.2211136239928331,0.260617292944127,,7338,34,3,9,0,2.186,False,0.17938232421875,0.2258766889572143,0.17938232421875,0.2258766889572143
04e1eb5aaa561608b95e411f6164d101e4c09ecfbf3514bf4802ee3044fa84f7,HECHOS,A-CE,2017.0,0.0,1.0,0.9912,0.4762,0,0.7931,0.16071428571428573,0.7060699544317853,0.2468461417129528,0.2363490844577715,,4159,29,4,1,0,1.283,False,0.1443036794662475,0.1898087263107299,0.1443036794662475,0.1898087263107299
